Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-10-02,708673000.0,371445000.0,337228000.0,75189000.0,,233810000.0,103418000.0,1294000.0,104712000.0,31151000.0,73561000.0,1.28,1.28,57405000.0,57657000.0,47447000.0,,165423000.0,95842000.0,11282000.0,,,455710000.0,,84809000.0,152418000.0,51592000.0,4806000.0,871645000.0,33908000.0,66486000.0,22292000.0,128438000.0,,,,9647000.0,140938000.0,1042756000.0,-10324000.0,730707000.0,871645000.0,,8155000.0,3208000.0,14463000.0,15972000.0,,1192000.0,6747000.0,-1530000.0,,101738000.0,,230715000.0,74371000.0,,,23752000.0,2882000.0,,-33749000.0,,83000.0,-59529000.0,8504000.0,
2010-12-31,956848000.0,495979000.0,460869000.0,101930000.0,,317017000.0,143852000.0,1083000.0,144935000.0,43157000.0,101778000.0,1.78,1.77,57143000.0,57428000.0,47476000.0,,154146000.0,113742000.0,19162000.0,,,476304000.0,,88983000.0,151933000.0,49706000.0,5206000.0,878864000.0,35304000.0,68090000.0,26757000.0,136051000.0,,,,10375000.0,148832000.0,1070973000.0,-9349000.0,730032000.0,878864000.0,,11871000.0,-1347000.0,4603000.0,33884000.0,,3993000.0,6619000.0,3414000.0,,140459000.0,,274208000.0,102485000.0,,,30721000.0,3497000.0,,-39616000.0,,244000.0,-92872000.0,8533000.0,
2011-04-02,237301000.0,117303000.0,119998000.0,21681000.0,,75636000.0,44362000.0,12000.0,44374000.0,14246000.0,61634000.0,1.11,1.1,55353000.0,55774000.0,79685000.0,,141218000.0,120508000.0,18592000.0,,,548533000.0,,90745000.0,79703000.0,8920000.0,3914000.0,894207000.0,32413000.0,50845000.0,11019000.0,128009000.0,,,,9993000.0,139801000.0,1132607000.0,-12672000.0,754406000.0,894207000.0,,4488000.0,2540000.0,-12563000.0,7136000.0,,1690000.0,-7150000.0,-15749000.0,,-5169000.0,,209509000.0,88304000.0,,,3922000.0,,,75489000.0,,645000.0,-38165000.0,32491000.0,
2011-10-01,736180000.0,370931000.0,365249000.0,66752000.0,,225336000.0,139913000.0,-1306000.0,138607000.0,41123000.0,139599000.0,2.56,2.55,54405000.0,54770000.0,43781000.0,,162314000.0,120378000.0,16470000.0,,,539713000.0,,94726000.0,79703000.0,7441000.0,3862000.0,851772000.0,30924000.0,53236000.0,10276000.0,94436000.0,,,,9693000.0,105824000.0,1210572000.0,-7444000.0,745948000.0,851772000.0,,11060000.0,5703000.0,10112000.0,6635000.0,,10150000.0,-8493000.0,-16707000.0,,34723000.0,,493649000.0,253377000.0,,,17829000.0,200000.0,,98392000.0,,1265000.0,-135911000.0,-3695000.0,
2011-12-31,983488000.0,496719000.0,486769000.0,89926000.0,,304733000.0,182036000.0,-2317000.0,179719000.0,49376000.0,174643000.0,3.24,3.22,53854000.0,54191000.0,36353000.0,,155230000.0,133288000.0,25797000.0,,,584873000.0,,97822000.0,79703000.0,12667000.0,4196000.0,899006000.0,33273000.0,64612000.0,11089000.0,108974000.0,,,,11515000.0,122081000.0,1245616000.0,-4213000.0,776925000.0,899006000.0,,14095000.0,10796000.0,3269000.0,19545000.0,,11408000.0,-5439000.0,-14131000.0,,79621000.0,,607996000.0,303801000.0,,,26918000.0,1232000.0,,53220000.0,,1392000.0,-145799000.0,-11123000.0,
2012-03-31,243875000.0,124012000.0,119863000.0,20419000.0,,77854000.0,42009000.0,-114000.0,41895000.0,11731000.0,30164000.0,0.58,0.58,51998000.0,52301000.0,41943000.0,,157114000.0,126119000.0,14194000.0,,,550282000.0,,101985000.0,79703000.0,11897000.0,4092000.0,905086000.0,33019000.0,47769000.0,12065000.0,92853000.0,,,,11674000.0,106023000.0,1275780000.0,-8206000.0,799063000.0,905086000.0,,3800000.0,-391000.0,1862000.0,-7169000.0,,-9395000.0,-3378000.0,1151000.0,,36553000.0,,81189000.0,21748000.0,,,7654000.0,,,-23317000.0,,66000.0,-7711000.0,5525000.0,
2012-06-30,490952000.0,250692000.0,240260000.0,42752000.0,,158792000.0,81468000.0,260000.0,81614000.0,21097000.0,60817000.0,1.17,1.17,51881000.0,52156000.0,105368000.0,,156146000.0,116689000.0,13170000.0,,,581750000.0,,100992000.0,79703000.0,11127000.0,8989000.0,928790000.0,29216000.0,53117000.0,11992000.0,94325000.0,,,,11965000.0,107811000.0,1306433000.0,-5747000.0,820979000.0,928790000.0,,8045000.0,367000.0,657000.0,-16599000.0,,-527000.0,-9594000.0,1460000.0,,84655000.0,,228105000.0,95106000.0,5000000.0,,10599000.0,,,7539000.0,,1358000.0,-23145000.0,68950000.0,
2012-09-29,742989000.0,375805000.0,367184000.0,64759000.0,,246951000.0,120233000.0,-267000.0,120112000.0,33014000.0,87914000.0,1.7,1.69,51775000.0,52041000.0,52253000.0,,165160000.0,122915000.0,15506000.0,,,530978000.0,,102537000.0,95345000.0,39017000.0,9425000.0,940690000.0,28180000.0,50568000.0,12288000.0,93067000.0,,,,13188000.0,107661000.0,1333530000.0,-9290000.0,833029000.0,940690000.0,,11485000.0,2755000.0,6108000.0,-11981000.0,,-12070000.0,-10843000.0,2644000.0,,134983000.0,,324139000.0,133863000.0,5000000.0,59874000.0,17140000.0,3000000.0,,-82781000.0,,1492000.0,-36296000.0,15835000.0,
2012-12-31,996168000.0,504524000.0,491644000.0,87364000.0,,327293000.0,164351000.0,-177000.0,164174000.0,42277000.0,122904000.0,2.38,2.37,51566000.0,51843000.0,64740000.0,,168732000.0,123357000.0,16086000.0,,,710863000.0,,101349000.0,94942000.0,39151000.0,13646000.0,967748000.0,23045000.0,57234000.0,13326000.0,95214000.0,,,,14229000.0,110746000.0,1368520000.0,-10325000.0,857002000.0,967748000.0,,14727000.0,8951000.0,8647000.0,-11530000.0,,-7304000.0,-14605000.0,4351000.0,,183331000.0,,145028000.0,164410000.0,9125000.0,59876000.0,22443000.0,3500000.0,,-105535000.0,,1578000.0,-49434000.0,28322000.0,
2013-03-30,236937000.0,123872000.0,113065000.0,21858000.0,,84889000.0,28176000.0,588000.0,28764000.0,5222000.0,23542000.0,0.46,0.46,50980000.0,51366000.0,49592000.0,,169255000.0,116417000.0,12962000.0,,,730134000.0,,101054000.0,94942000.0,37288000.0,14602000.0,983597000.0,20141000.0,43932000.0,13445000.0,79892000.0,,,,16096000.0,97233000.0,1392062000.0,-8560000.0,886364000.0,983597000.0,,2146000.0,990000.0,516000.0,-6943000.0,,137000.0,-7119000.0,1618000.0,,24164000.0,,3144000.0,65094000.0,,,1952000.0,500000.0,,-41765000.0,,358000.0,2383000.0,-15148000.0,
2013-06-29,490097000.0,256125000.0,233972000.0,45059000.0,,169555000.0,64417000.0,2063000.0,66480000.0,12380000.0,54108000.0,1.06,1.05,50929000.0,51310000.0,55886000.0,,170856000.0,109149000.0,13190000.0,,,762607000.0,,101737000.0,94942000.0,35425000.0,15491000.0,1018555000.0,31945000.0,50584000.0,12416000.0,101815000.0,,1544000.0,,17285000.0,121976000.0,1422628000.0,-9595000.0,896579000.0,1018555000.0,,6504000.0,4439000.0,1976000.0,-14190000.0,,-1313000.0,3263000.0,1585000.0,,91056000.0,,19188000.0,142230000.0,,,8547000.0,500000.0,,-79407000.0,,3727000.0,-20732000.0,-8854000.0,
2013-09-28,753620000.0,391038000.0,362582000.0,67435000.0,,251396000.0,111186000.0,2435000.0,113621000.0,20921000.0,92708000.0,1.82,1.81,50808000.0,51171000.0,64196000.0,,175639000.0,106628000.0,13434000.0,,,779463000.0,,100515000.0,94942000.0,33594000.0,16536000.0,1027638000.0,26675000.0,49448000.0,15104000.0,98573000.0,,2236000.0,,15230000.0,117295000.0,1461228000.0,-9987000.0,910343000.0,1027638000.0,,9372000.0,4888000.0,6641000.0,-16702000.0,,-2257000.0,-445000.0,1752000.0,,136989000.0,,41021000.0,223905000.0,,0.0,13522000.0,1500000.0,,-90031000.0,,4170000.0,-47819000.0,-544000.0,
2013-12-31,1038159000.0,534549000.0,503610000.0,91147000.0,,343346000.0,160264000.0,3563000.0,163827000.0,29602000.0,134358000.0,2.65,2.63,50693000.0,51063000.0,62827000.0,,176917000.0,121023000.0,-5682000.0,,,754103000.0,,109588000.0,155800000.0,68968000.0,28765000.0,1119812000.0,34688000.0,61962000.0,15506000.0,119054000.0,,25492000.0,,15477000.0,161154000.0,1502878000.0,-9781000.0,958658000.0,1119812000.0,,13109000.0,7600000.0,6488000.0,-2743000.0,,342000.0,7544000.0,2133000.0,,194766000.0,,49453000.0,336741000.0,,95328000.0,20211000.0,1500000.0,,-153149000.0,,4277000.0,-44173000.0,-1913000.0,
