Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,450545000.0,132476000.0,,57403000.0,165977000.0,364774000.0,85771000.0,,72264000.0,23648000.0,48616000.0,1.05,1.04,46171000.0,46561000.0,112612000.0,129173000.0,107804000.0,,,,,371812000.0,19015000.0,31421000.0,660804000.0,29050000.0,8354000.0,1162397000.0,8520000.0,35459000.0,45234000.0,128634000.0,,,,14647000.0,655281000.0,932168000.0,-28148000.0,507116000.0,1162397000.0,23762000.0,13235000.0,689000.0,7852000.0,,,,24000.0,3516000.0,693000.0,84025000.0,71749000.0,122573000.0,,,,12746000.0,,,40310000.0,,1052000.0,-187236000.0,-65545000.0,13374000.0
2010-09-30,605643000.0,180932000.0,,73581000.0,225263000.0,492294000.0,113349000.0,,92304000.0,27847000.0,64457000.0,1.44,1.42,44903000.0,45308000.0,146199000.0,68615000.0,113187000.0,,,,,347175000.0,4367000.0,30975000.0,665953000.0,27244000.0,9154000.0,1123716000.0,8765000.0,28732000.0,42953000.0,122147000.0,,,,14655000.0,648802000.0,947202000.0,-19678000.0,474914000.0,1123716000.0,30918000.0,17305000.0,6761000.0,11561000.0,,,,-317000.0,-1096000.0,-3290000.0,105780000.0,71749000.0,187593000.0,10014000.0,,,17453000.0,,,110637000.0,,1158000.0,-248473000.0,-31958000.0,26885000.0
2010-12-31,155931000.0,45803000.0,,18061000.0,59633000.0,126295000.0,29636000.0,,21423000.0,5414000.0,16009000.0,0.4,0.4,39923000.0,40439000.0,196432000.0,46859000.0,105215000.0,,,,,365209000.0,4771000.0,29751000.0,664206000.0,25264000.0,8512000.0,1136144000.0,13485000.0,27257000.0,46780000.0,118096000.0,,,,14590000.0,644686000.0,962413000.0,-21929000.0,491458000.0,1136144000.0,6455000.0,4034000.0,819000.0,-7817000.0,,,,3325000.0,3280000.0,624000.0,32880000.0,,21415000.0,,,,1328000.0,,,20087000.0,,435000.0,-2464000.0,50233000.0,3185000.0
2011-03-31,308755000.0,94309000.0,,34283000.0,115082000.0,259927000.0,48828000.0,,32457000.0,8703000.0,23754000.0,0.59,0.59,40010000.0,40618000.0,258294000.0,0.0,106893000.0,,,,,381085000.0,5123000.0,29038000.0,667431000.0,23423000.0,7797000.0,1152426000.0,16424000.0,26383000.0,51020000.0,125831000.0,,,,16318000.0,654149000.0,969357000.0,-15972000.0,498277000.0,1152426000.0,12770000.0,8205000.0,818000.0,-7275000.0,,,,6257000.0,6169000.0,1580000.0,59618000.0,,54545000.0,13644000.0,,,5106000.0,,,63158000.0,,1127000.0,-12894000.0,112095000.0,8696000.0
2011-06-30,459434000.0,137707000.0,,48573000.0,168725000.0,373200000.0,86234000.0,,64394000.0,17451000.0,46943000.0,1.18,1.16,39788000.0,40426000.0,140917000.0,117593000.0,102030000.0,,,,,376406000.0,4846000.0,27278000.0,667149000.0,21483000.0,7471000.0,1141686000.0,14877000.0,30929000.0,51482000.0,134683000.0,,,,15217000.0,653900000.0,991756000.0,-16012000.0,487786000.0,1141686000.0,18623000.0,11762000.0,1185000.0,-12262000.0,,,,5808000.0,6297000.0,6386000.0,105053000.0,117675000.0,54545000.0,13644000.0,,,8323000.0,,,-57734000.0,,1312000.0,-54936000.0,-5282000.0,9214000.0
2011-09-30,619683000.0,186470000.0,,62129000.0,223615000.0,492346000.0,127337000.0,,97455000.0,25893000.0,71562000.0,1.82,1.79,39359000.0,39988000.0,135752000.0,105826000.0,104974000.0,,22942000.0,,,364481000.0,4170000.0,33017000.0,664688000.0,,7648000.0,1129468000.0,11139000.0,47031000.0,41768000.0,146498000.0,,,,,663974000.0,1015624000.0,-21709000.0,465494000.0,1129468000.0,24197000.0,15500000.0,1252000.0,-8571000.0,,,,-1749000.0,-2995000.0,18727000.0,136156000.0,144224000.0,92759000.0,13644000.0,,,14020000.0,,,-51701000.0,,1664000.0,-94021000.0,-10447000.0,11460000.0
2011-12-31,170349000.0,45974000.0,,13049000.0,57324000.0,118277000.0,52072000.0,,43625000.0,13628000.0,29997000.0,0.83,0.81,36034000.0,36887000.0,175375000.0,56212000.0,117301000.0,,,,,365039000.0,4398000.0,33329000.0,663944000.0,,7079000.0,1125680000.0,14229000.0,40616000.0,47962000.0,139799000.0,,,,,663422000.0,1044904000.0,-24408000.0,462258000.0,1125680000.0,5528000.0,4757000.0,425000.0,12589000.0,,,,6892000.0,12359000.0,1873000.0,41149000.0,23036000.0,72509000.0,,,,7757000.0,,,41716000.0,,1671000.0,-41708000.0,39623000.0,4696000.0
2012-03-31,329870000.0,94788000.0,,27035000.0,114359000.0,239602000.0,90268000.0,,73309000.0,23300000.0,50009000.0,1.4,1.36,35685000.0,36721000.0,146036000.0,45049000.0,107436000.0,,,,,315298000.0,5036000.0,35138000.0,667098000.0,,7714000.0,1080591000.0,11198000.0,37203000.0,51030000.0,142245000.0,,,,,667397000.0,1064207000.0,-18263000.0,413194000.0,1080591000.0,10049000.0,9384000.0,-1967000.0,1680000.0,,,,4629000.0,17111000.0,-2853000.0,83476000.0,43071000.0,103659000.0,,,,13364000.0,,199000.0,47025000.0,,3414000.0,-121384000.0,10284000.0,18027000.0
2012-06-30,490348000.0,142620000.0,,41925000.0,173482000.0,362912000.0,127436000.0,,103563000.0,32805000.0,70758000.0,2.01,1.95,35126000.0,36247000.0,118681000.0,32022000.0,111863000.0,,,,,279416000.0,5007000.0,38138000.0,679955000.0,,8702000.0,1066295000.0,14014000.0,34786000.0,50803000.0,143680000.0,,,,,659935000.0,1084271000.0,-23983000.0,406360000.0,1066295000.0,14555000.0,15466000.0,-1864000.0,6149000.0,,,,6970000.0,16413000.0,-10099000.0,106408000.0,48067000.0,121659000.0,,,18192000.0,19616000.0,,149000.0,35635000.0,,4402000.0,-157156000.0,-17071000.0,30415000.0
2012-09-30,676423000.0,197947000.0,,59527000.0,238522000.0,508065000.0,168358000.0,,136243000.0,44239000.0,92004000.0,2.64,2.55,34909000.0,36063000.0,71609000.0,22008000.0,142595000.0,,29018000.0,,,259325000.0,5417000.0,41080000.0,757504000.0,,9047000.0,1158611000.0,18958000.0,43645000.0,47959000.0,209605000.0,,,,,684205000.0,1104825000.0,-15808000.0,474406000.0,1158611000.0,21549000.0,21229000.0,-7121000.0,26490000.0,,,,6810000.0,10032000.0,1455000.0,129746000.0,48067000.0,131659000.0,,,123631000.0,25483000.0,,148000.0,-65670000.0,,8079000.0,-128453000.0,-64143000.0,36852000.0
2012-12-31,190020000.0,56148000.0,,14552000.0,69665000.0,147026000.0,42994000.0,,35043000.0,11622000.0,23421000.0,0.67,0.65,35043000.0,36151000.0,90839000.0,,138159000.0,,,,,251374000.0,5496000.0,45788000.0,769959000.0,,9002000.0,1176114000.0,21509000.0,40869000.0,47455000.0,189003000.0,,,,,667386000.0,1127544000.0,-17199000.0,508728000.0,1176114000.0,7973000.0,5832000.0,-1418000.0,-6754000.0,,,,1748000.0,-2764000.0,8967000.0,28729000.0,,22000000.0,,,27605000.0,9012000.0,,-50000.0,-14567000.0,,2940000.0,5494000.0,19230000.0,1978000.0
2013-03-31,369345000.0,115004000.0,,30573000.0,137303000.0,293145000.0,76200000.0,,60430000.0,18514000.0,41916000.0,1.19,1.15,35664000.0,36492000.0,131150000.0,,132906000.0,,,,,285230000.0,6492000.0,48630000.0,760754000.0,,7662000.0,1198341000.0,22400000.0,31485000.0,51803000.0,191273000.0,,,,,668116000.0,1145325000.0,-30229000.0,530225000.0,1198341000.0,16433000.0,12245000.0,-3499000.0,-9634000.0,,,,3009000.0,2214000.0,439000.0,68954000.0,,22000000.0,,,28438000.0,17123000.0,,-50000.0,-23511000.0,,4251000.0,15900000.0,59541000.0,18160000.0
