Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1916774000.0,919542000.0,,,450928000.0,1470754000.0,446020000.0,,439468000.0,123490000.0,316376000.0,1.33,1.3,,,1182306000.0,,,1163999000.0,,,359218000.0,4056893000.0,,2999426000.0,769975000.0,,485726000.0,9094276000.0,,,,1538827000.0,,,,187453000.0,,7978872000.0,-337827000.0,5260159000.0,9094276000.0,125221000.0,35320000.0,1709000.0,,,,,,,,394628000.0,,,,,274756000.0,111564000.0,,9605000.0,-141828000.0,,7824000.0,-466673000.0,-211938000.0,
2010-03-31,3761628000.0,1806437000.0,,,877275000.0,2885114000.0,876514000.0,,866866000.0,253163000.0,614007000.0,2.6,2.53,,,830688000.0,,,1166044000.0,,,373192000.0,3939493000.0,,2967677000.0,764059000.0,,480508000.0,8943392000.0,,,,1467466000.0,,,,201123000.0,,8192151000.0,-459605000.0,5149634000.0,8943392000.0,252027000.0,52467000.0,14125000.0,,,,,,,,687596000.0,,,,,281367000.0,229597000.0,,34591000.0,-472291000.0,,17591000.0,-777628000.0,-563556000.0,
2010-06-30,5639857000.0,2712259000.0,,,1300958000.0,4323242000.0,1316615000.0,,1297322000.0,377336000.0,,3.91,3.82,235316000.0,241151000.0,750106000.0,,,1121643000.0,,,385383000.0,4123061000.0,,2887393000.0,754951000.0,,486671000.0,9031673000.0,,,,1531426000.0,,,,209703000.0,,8412924000.0,-598375000.0,5153877000.0,9031673000.0,383005000.0,69117000.0,7088000.0,,,,,,,,1194347000.0,,,,,281367000.0,329985000.0,,42924000.0,-879268000.0,,18911000.0,-956184000.0,-644138000.0,
2010-09-30,7372333000.0,3543183000.0,,,1721356000.0,5695536000.0,1676797000.0,,1661160000.0,484820000.0,,5.62,5.49,234328000.0,240136000.0,1215989000.0,,,1145337000.0,838066000.0,,410341000.0,4505250000.0,,3100492000.0,763961000.0,,487590000.0,9650694000.0,325402000.0,661112000.0,,1671673000.0,,21558000.0,,149975000.0,,8724228000.0,-457909000.0,5434580000.0,9650694000.0,502113000.0,79374000.0,-16075000.0,,116500000.0,,,,,,1659017000.0,,,,,281367000.0,537306000.0,,81636000.0,-699965000.0,,23202000.0,-1222687000.0,-178255000.0,
2010-12-31,1842005000.0,865431000.0,,,447954000.0,1428927000.0,413078000.0,,408151000.0,93875000.0,,1.39,1.36,228083000.0,232915000.0,1249355000.0,,,1195477000.0,,,415012000.0,4950841000.0,,3081855000.0,760962000.0,,480655000.0,10071270000.0,,,,1612353000.0,,,,172047000.0,,8947065000.0,-476974000.0,4877933000.0,10071270000.0,123192000.0,34081000.0,,,,,,,,,469743000.0,,,,,,79842000.0,,5827000.0,-567350000.0,,14979000.0,135987000.0,33366000.0,
2011-03-31,3764028000.0,1786020000.0,,,889897000.0,2910610000.0,853418000.0,,836612000.0,211273000.0,,2.8,2.74,224528000.0,229529000.0,748588000.0,,,1276931000.0,,,511579000.0,4856630000.0,,3165683000.0,866260000.0,,491484000.0,10344223000.0,,,,1578911000.0,,,,276085000.0,,9168895000.0,-290623000.0,5099061000.0,10344223000.0,245397000.0,53720000.0,,,,,,,,,706888000.0,,,,,204970000.0,193688000.0,,24930000.0,-1023996000.0,,19133000.0,-155490000.0,-467401000.0,
2011-06-30,5778109000.0,2738000000.0,,,1364543000.0,4452984000.0,1325125000.0,,1297253000.0,333804000.0,,4.36,4.26,222674000.0,227782000.0,1158037000.0,,,1331103000.0,,,570509000.0,5073133000.0,,3217123000.0,867778000.0,,491692000.0,10620819000.0,,,,1657926000.0,,,,275233000.0,,9422074000.0,-198411000.0,5298400000.0,10620819000.0,372210000.0,72202000.0,,,,,,,,,1174492000.0,,,,,204970000.0,321268000.0,,41759000.0,-830996000.0,,35200000.0,-408253000.0,-57952000.0,
2011-09-30,7828904000.0,3737352000.0,,476496000.0,1851774000.0,6065622000.0,1763282000.0,,1716263000.0,451411000.0,,5.75,5.62,221175000.0,226280000.0,1175282000.0,,,1244972000.0,984588000.0,,631409000.0,4668331000.0,,3211197000.0,991121000.0,,444610000.0,10430428000.0,304836000.0,795224000.0,,1823228000.0,,58553000.0,,225877000.0,,9633584000.0,-670000000.0,4828175000.0,10430428000.0,504089000.0,73363000.0,17634000.0,,117539000.0,,,,,,1712530000.0,,,,,492081000.0,515385000.0,,63588000.0,-1039337000.0,,37189000.0,-714382000.0,-40707000.0,
2011-12-31,1887645000.0,926182000.0,,113936000.0,488958000.0,1529076000.0,358569000.0,,344254000.0,81244000.0,,1.23,1.21,214300000.0,217634000.0,2196278000.0,,,1261730000.0,,,599642000.0,5694144000.0,,3212312000.0,992736000.0,,407032000.0,11413363000.0,,,,1606374000.0,,,,329642000.0,,9799928000.0,-572554000.0,4727554000.0,11413363000.0,135618000.0,34355000.0,,,,,,,,,313019000.0,,,,,,103653000.0,,25776000.0,-251914000.0,,3736000.0,959167000.0,1020996000.0,
2012-03-31,3878464000.0,1897015000.0,,232464000.0,983978000.0,3113457000.0,765007000.0,,736887000.0,183328000.0,,2.63,2.59,210385000.0,213970000.0,1839490000.0,,,1320580000.0,,,630096000.0,5300585000.0,,3274122000.0,1032493000.0,,451350000.0,11195392000.0,,,,1621489000.0,,,,347137000.0,,9998883000.0,-453392000.0,4476288000.0,11195392000.0,-265881000.0,-53626000.0,,,,,,,,,610419000.0,,,,,50891000.0,214516000.0,,52870000.0,-225865000.0,,7376000.0,277511000.0,664208000.0,
2012-06-30,5741211000.0,2789044000.0,,343968000.0,1439094000.0,4572106000.0,1169105000.0,,1110509000.0,275260000.0,,4.24,4.17,207605000.0,211254000.0,1658719000.0,,,1239118000.0,,,565208000.0,5284715000.0,,3149975000.0,1016576000.0,,463103000.0,11024864000.0,,,,1889669000.0,,,,350150000.0,,10233693000.0,-705657000.0,4234504000.0,11024864000.0,-383559000.0,-71689000.0,,,,,,,,,1135936000.0,,,,,50891000.0,313481000.0,,70540000.0,-644211000.0,,8748000.0,-56353000.0,483437000.0,
2012-09-30,7708382000.0,3755388000.0,,471755000.0,1923354000.0,6150497000.0,1557885000.0,,1472408000.0,362880000.0,,5.69,5.59,205460000.0,209181000.0,1671165000.0,,,1240679000.0,968552000.0,,515255000.0,5322071000.0,,3303928000.0,1076077000.0,,499967000.0,11360909000.0,350455000.0,740636000.0,,1978055000.0,,72330000.0,,261705000.0,,10435378000.0,-801811000.0,4135889000.0,11360909000.0,510938000.0,89045000.0,-52187000.0,,92413000.0,,,,,,1693364000.0,,,,,103424000.0,487430000.0,,99206000.0,-894129000.0,,14854000.0,-370172000.0,495883000.0,
2012-12-31,1900192000.0,894063000.0,,118162000.0,495878000.0,1508103000.0,392089000.0,,365696000.0,95447000.0,,3.18,3.13,196427000.0,199570000.0,1917472000.0,,,1359822000.0,,,437816000.0,5477472000.0,,3316778000.0,1097691000.0,,513087000.0,11629437000.0,,,,2003782000.0,,,,290703000.0,,10963549000.0,-746497000.0,4469469000.0,11629437000.0,128833000.0,36835000.0,,,,,,,,,225905000.0,,,,,123738000.0,80385000.0,,24988000.0,391292000.0,,4896000.0,-378817000.0,246307000.0,
2013-03-31,3900567000.0,1876319000.0,,240538000.0,1010489000.0,3127346000.0,773221000.0,,726167000.0,179797000.0,,4.61,4.53,195528000.0,199068000.0,2023860000.0,,,1391825000.0,,,467454000.0,5499998000.0,,3314964000.0,1099682000.0,,492672000.0,11629923000.0,,,,1878039000.0,,,,287590000.0,,11142597000.0,-803069000.0,4588782000.0,11629923000.0,265477000.0,58263000.0,,,,,,,,,542947000.0,,,,,138225000.0,197333000.0,,53004000.0,414880000.0,,14136000.0,-500080000.0,352695000.0,
