Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-31,1305583000.0,257925000.0,1047658000.0,131897000.0,,932386000.0,115272000.0,,142381000.0,57689000.0,80719000.0,0.65,0.63,124462000.0,128114000.0,1011306000.0,230659000.0,320956000.0,,40116000.0,,,1706159000.0,485083000.0,89711000.0,48955000.0,,39765000.0,2460201000.0,14791000.0,194738000.0,690177000.0,908130000.0,14171000.0,,17551000.0,,1403535000.0,106561000.0,-1430000.0,1043802000.0,2460201000.0,,88892000.0,,54522000.0,,,1405000.0,-1588000.0,110322000.0,,270911000.0,1317952000.0,130663000.0,874573000.0,,11999000.0,53901000.0,,,-378616000.0,,51539000.0,637153000.0,527472000.0,28479000.0
2010-04-30,376813000.0,71581000.0,305232000.0,40122000.0,,272182000.0,33050000.0,,31892000.0,12016000.0,17745000.0,0.14,0.13,128032000.0,132251000.0,690794000.0,260958000.0,183612000.0,,36315000.0,,,1263752000.0,949796000.0,86710000.0,47749000.0,,41727000.0,2488097000.0,13133000.0,171612000.0,647454000.0,838100000.0,17075000.0,,17101000.0,,1339730000.0,124306000.0,70000.0,1134510000.0,2488097000.0,,26468000.0,,-138951000.0,,,1439000.0,-1658000.0,-39819000.0,,143183000.0,816358000.0,116262000.0,204153000.0,,,12190000.0,,,-509406000.0,,9288000.0,44886000.0,-320512000.0,-5513000.0
2010-07-31,771185000.0,149371000.0,621814000.0,83052000.0,,559082000.0,62732000.0,,61359000.0,24900000.0,32489000.0,0.25,0.24,129462000.0,134176000.0,409925000.0,332342000.0,228550000.0,,44088000.0,,,1112136000.0,1116661000.0,100946000.0,184539000.0,9166000.0,53357000.0,2698476000.0,20745000.0,236034000.0,662897000.0,928566000.0,20122000.0,51100000.0,18474000.0,,1442921000.0,139050000.0,7855000.0,1240626000.0,2698476000.0,,53083000.0,,-97538000.0,,,4142000.0,5583000.0,-24229000.0,,219279000.0,1222439000.0,142512000.0,349954000.0,,151503000.0,39521000.0,,,-924770000.0,,32190000.0,99792000.0,-601381000.0,-4790000.0
2010-10-31,1200272000.0,231502000.0,968770000.0,130357000.0,,870882000.0,97888000.0,,99919000.0,41092000.0,53561000.0,0.41,0.4,130888000.0,137044000.0,630303000.0,139545000.0,258764000.0,,49620000.0,,,1192936000.0,1032592000.0,116078000.0,187038000.0,8716000.0,69194000.0,2740694000.0,23320000.0,287627000.0,672454000.0,993045000.0,22103000.0,51100000.0,18284000.0,,1528228000.0,160122000.0,9030000.0,1210288000.0,2740694000.0,,78715000.0,,-67326000.0,,,9405000.0,6500000.0,-12691000.0,,293319000.0,1518996000.0,200768000.0,868595000.0,,155337000.0,60311000.0,,,-679781000.0,,46768000.0,-95155000.0,-381003000.0,4260000.0
2011-01-31,1657139000.0,323813000.0,1333326000.0,187887000.0,,1235829000.0,97497000.0,,104298000.0,34601000.0,64474000.0,0.5,0.47,130222000.0,136598000.0,424292000.0,72678000.0,426943000.0,,68715000.0,,,1074924000.0,910587000.0,387174000.0,396081000.0,31660000.0,104371000.0,3091165000.0,18106000.0,345121000.0,913239000.0,1276466000.0,21702000.0,51100000.0,18481000.0,,1814674000.0,171035000.0,6719000.0,1276491000.0,3091165000.0,,120429000.0,-14906000.0,102507000.0,,,9770000.0,1246000.0,227693000.0,,459081000.0,1682549000.0,214770000.0,1197492000.0,,403331000.0,90887000.0,,,-1062554000.0,,35991000.0,14074000.0,-587014000.0,90000.0
2011-04-30,504364000.0,103066000.0,401298000.0,65292000.0,,404101000.0,-2803000.0,,781000.0,251000.0,530000.0,0.0,0.0,133454000.0,141062000.0,664612000.0,99224000.0,270816000.0,,23791000.0,,,1188129000.0,758449000.0,446268000.0,406889000.0,30620000.0,109595000.0,3128068000.0,16969000.0,295970000.0,893904000.0,1685212000.0,21229000.0,,20292000.0,,1775795000.0,171565000.0,76000.0,1255642000.0,3128068000.0,,47558000.0,,-156127000.0,,,2713000.0,-1137000.0,-19808000.0,,139518000.0,232127000.0,6515000.0,352070000.0,,13335000.0,27314000.0,,,79362000.0,,2034000.0,27958000.0,240320000.0,10978000.0
2011-07-31,1050366000.0,223976000.0,826390000.0,138685000.0,,844941000.0,-18551000.0,,-17713000.0,-13445000.0,-4268000.0,-0.03,-0.03,135093000.0,135093000.0,449794000.0,127582000.0,342397000.0,,33915000.0,,,1114822000.0,709282000.0,470070000.0,671570000.0,47114000.0,145500000.0,3421328000.0,22321000.0,389853000.0,917755000.0,1814057000.0,17511000.0,51100000.0,34777000.0,,1912433000.0,167297000.0,7219000.0,1418123000.0,3421328000.0,,102152000.0,,-90051000.0,,,4626000.0,4121000.0,19453000.0,,222451000.0,307564000.0,18735000.0,436949000.0,,298670000.0,72365000.0,,,-321928000.0,,4120000.0,48377000.0,-214818000.0,12006000.0
2011-10-31,1634626000.0,352541000.0,1282085000.0,214734000.0,,1310793000.0,-28708000.0,,-25782000.0,-18288000.0,-7494000.0,-0.06,-0.06,135847000.0,135847000.0,502987000.0,142861000.0,312331000.0,,38834000.0,,,1148240000.0,650845000.0,504827000.0,732062000.0,45410000.0,156418000.0,3511278000.0,28265000.0,409150000.0,905055000.0,1832589000.0,12766000.0,51100000.0,30204000.0,,1928118000.0,163541000.0,3977000.0,1498389000.0,3511278000.0,,159158000.0,,-120152000.0,,,-4693000.0,8928000.0,-17800000.0,,351160000.0,408228000.0,31894000.0,563621000.0,,364785000.0,107043000.0,,,-332354000.0,,11012000.0,63378000.0,78695000.0,19864000.0
2012-01-31,2266539000.0,488886000.0,1777653000.0,295347000.0,,1812738000.0,-35085000.0,,-33317000.0,-21745000.0,-11572000.0,-0.09,-0.09,135302000.0,135302000.0,607284000.0,170582000.0,683745000.0,,119408000.0,,,1672222000.0,669308000.0,527946000.0,785381000.0,46110000.0,155149000.0,4164154000.0,33258000.0,502442000.0,1291622000.0,2323471000.0,88673000.0,51100000.0,37258000.0,,2498053000.0,159463000.0,12683000.0,,4164154000.0,,229258000.0,-51144000.0,244947000.0,,,-2883000.0,12644000.0,444674000.0,,591507000.0,623231000.0,40346000.0,724564000.0,,422699000.0,151645000.0,,,-489690000.0,,6018000.0,75850000.0,182992000.0,20981000.0
2012-04-30,695467000.0,151551000.0,543916000.0,94776000.0,,566165000.0,-22249000.0,,-24868000.0,-5393000.0,-19475000.0,-0.14,-0.14,138150000.0,138150000.0,440785000.0,269603000.0,371395000.0,,47538000.0,,,1323033000.0,946701000.0,549732000.0,831004000.0,43684000.0,22191000.0,4156092000.0,19752000.0,399731000.0,1257369000.0,1676852000.0,77347000.0,51100000.0,42010000.0,,2346323000.0,139988000.0,10197000.0,1809769000.0,4156092000.0,22400000.0,81266000.0,,-312660000.0,,,-1755000.0,-13505000.0,-45580000.0,,213212000.0,487803000.0,37699000.0,75522000.0,,48913000.0,44721000.0,,,-474987000.0,,11043000.0,97036000.0,-166499000.0,41961000.0
2012-07-31,1427116000.0,313969000.0,1113147000.0,194218000.0,,1148862000.0,-35715000.0,,-38900000.0,-9596000.0,-29304000.0,-0.21,-0.21,139425000.0,139425000.0,1000730000.0,106933000.0,446917000.0,,56723000.0,,,1853125000.0,696602000.0,556776000.0,840531000.0,41311000.0,148039000.0,4453570000.0,69339000.0,482888000.0,1268407000.0,2329167000.0,68777000.0,51100000.0,47165000.0,,2494899000.0,130159000.0,19730000.0,1892314000.0,4453570000.0,,166683000.0,,-237138000.0,,,891000.0,49586000.0,-43111000.0,,349409000.0,594904000.0,84887000.0,548232000.0,,58991000.0,74025000.0,,,372286000.0,,25745000.0,138083000.0,559945000.0,45467000.0
2012-10-31,2215514000.0,500217000.0,1715297000.0,308292000.0,,1805200000.0,-89903000.0,,-101751000.0,157446000.0,-249601000.0,-1.78,-1.78,142203000.0,142203000.0,521720000.0,83844000.0,418590000.0,,14723000.0,,,1257285000.0,810486000.0,583839000.0,1525154000.0,51447000.0,153800000.0,4642290000.0,57940000.0,524267000.0,1226118000.0,2323216000.0,65585000.0,51100000.0,46246000.0,,2498676000.0,-90138000.0,23649000.0,2083615000.0,4642290000.0,,271795000.0,149147000.0,-270802000.0,,,-7639000.0,21725000.0,-91873000.0,,455324000.0,808409000.0,126879000.0,630317000.0,,574751000.0,125079000.0,,,-760600000.0,,28905000.0,210062000.0,-479010000.0,51981000.0
2013-01-31,3050195000.0,683579000.0,2366616000.0,429479000.0,,2477326000.0,-110710000.0,,-127794000.0,142651000.0,-270445000.0,-1.92,-1.92,141224000.0,141224000.0,747245000.0,120376000.0,872634000.0,,16371000.0,,,2015880000.0,890664000.0,604669000.0,1529378000.0,49354000.0,149748000.0,5528956000.0,14535000.0,597706000.0,1798640000.0,2917624000.0,64355000.0,51100000.0,49074000.0,,3157711000.0,-110982000.0,17137000.0,2317633000.0,5528956000.0,,379350000.0,96473000.0,183242000.0,,,-11122000.0,,479419000.0,,736897000.0,1021287000.0,144623000.0,706893000.0,,579745000.0,175601000.0,,,-938918000.0,,14933000.0,334545000.0,139961000.0,53089000.0
