Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,627698000.0,125124000.0,502574000.0,86743000.0,,348875000.0,153699000.0,,161256000.0,58338000.0,102918000.0,1.3,1.27,79864000.0,81031000.0,143813000.0,,102829000.0,17747000.0,7868000.0,,30886000.0,560086000.0,,35991000.0,233526000.0,,17277000.0,1267273000.0,22657000.0,47990000.0,188661000.0,259308000.0,50977000.0,,,15386000.0,,441489000.0,-4595000.0,,1267273000.0,-17923000.0,-50991000.0,-10659000.0,-3350000.0,3927000.0,,10380000.0,,56507000.0,,227221000.0,,397702000.0,,,,10119000.0,,,-183515000.0,,16419000.0,-9243000.0,34463000.0,
2010-09-30,881972000.0,171952000.0,710020000.0,118314000.0,,480018000.0,230002000.0,,237627000.0,86474000.0,151153000.0,1.9,1.86,79609000.0,81049000.0,168754000.0,,112132000.0,18815000.0,8767000.0,,37745000.0,605955000.0,,34157000.0,234700000.0,,15751000.0,1362192000.0,21180000.0,61768000.0,204137000.0,287085000.0,55256000.0,,,16153000.0,,489724000.0,-3241000.0,,1362192000.0,-23833000.0,-70773000.0,-8243000.0,6365000.0,4996000.0,,17064000.0,,76263000.0,,313612000.0,,648875000.0,,,,12625000.0,,,-238223000.0,,26532000.0,-16798000.0,58591000.0,67120000.0
2010-12-31,268934000.0,48963000.0,219971000.0,32606000.0,,140115000.0,79856000.0,,82401000.0,26738000.0,55663000.0,0.69,0.68,80644000.0,81648000.0,168133000.0,,141986000.0,18184000.0,8657000.0,,30140000.0,684539000.0,,35520000.0,234700000.0,,15049000.0,1475837000.0,31254000.0,64096000.0,232516000.0,327866000.0,55271000.0,,,17601000.0,,545387000.0,-4482000.0,,1475837000.0,5250000.0,22940000.0,888000.0,30082000.0,-632000.0,,-7771000.0,,28393000.0,,103139000.0,,159850000.0,,,,5491000.0,,,-97179000.0,,10130000.0,-6026000.0,-66000.0,
2011-03-31,546506000.0,99636000.0,446870000.0,67113000.0,,283800000.0,163070000.0,,167183000.0,55945000.0,111238000.0,1.38,1.36,80809000.0,81670000.0,206215000.0,,142903000.0,18154000.0,8759000.0,,45767000.0,690839000.0,,37533000.0,234700000.0,,13923000.0,1538523000.0,30827000.0,63101000.0,248157000.0,342085000.0,65183000.0,,,18952000.0,,600962000.0,-4632000.0,,1538523000.0,10536000.0,44706000.0,-1080000.0,30757000.0,-661000.0,,7798000.0,,53945000.0,,194368000.0,,342207000.0,,,,11704000.0,80000.0,,-110699000.0,,16286000.0,-46022000.0,37647000.0,
2011-06-30,837219000.0,152084000.0,685135000.0,102358000.0,,433804000.0,251331000.0,,257333000.0,83546000.0,173787000.0,2.15,2.13,80866000.0,81655000.0,299804000.0,,154741000.0,17941000.0,9197000.0,,30015000.0,797228000.0,,42323000.0,234700000.0,,13147000.0,1597134000.0,34070000.0,59721000.0,255226000.0,349017000.0,66649000.0,,,16300000.0,,663511000.0,-3460000.0,,1597134000.0,15715000.0,67613000.0,-387000.0,43062000.0,-874000.0,,-8452000.0,,62481000.0,,295444000.0,,629766000.0,,,,20544000.0,80000.0,,-84076000.0,,20221000.0,-80174000.0,131194000.0,
2011-09-30,1151834000.0,208004000.0,943830000.0,138910000.0,,593168000.0,350662000.0,,360751000.0,119354000.0,241397000.0,2.99,2.96,80658000.0,81482000.0,216784000.0,,165676000.0,17149000.0,43153000.0,,29907000.0,763673000.0,,47998000.0,234691000.0,,17222000.0,1568549000.0,33525000.0,67902000.0,270880000.0,372307000.0,72418000.0,,5675000.0,18388000.0,,731121000.0,-6422000.0,,1568549000.0,20887000.0,89747000.0,2594000.0,54526000.0,-1666000.0,,-8000000.0,,83904000.0,,416938000.0,,812042000.0,63977000.0,,,30445000.0,5715000.0,,-139719000.0,,23623000.0,-226664000.0,50555000.0,84753000.0
2011-12-31,322432000.0,55606000.0,266826000.0,39122000.0,,167037000.0,99789000.0,,101650000.0,35158000.0,66492000.0,0.84,0.83,79272000.0,79822000.0,257488000.0,,187862000.0,17493000.0,8604000.0,,33606000.0,804102000.0,,50870000.0,234691000.0,,15547000.0,1698689000.0,32566000.0,97368000.0,302820000.0,432754000.0,77209000.0,,,18536000.0,,797613000.0,-6772000.0,,1698689000.0,5822000.0,22123000.0,,22601000.0,344000.0,,3879000.0,,36732000.0,,131879000.0,,198102000.0,2886000.0,,,5857000.0,,,-67371000.0,,1399000.0,-23497000.0,41011000.0,
2012-03-31,662054000.0,113200000.0,548854000.0,82690000.0,,344385000.0,204469000.0,,207758000.0,72625000.0,135133000.0,1.71,1.69,79214000.0,79853000.0,209459000.0,,184043000.0,17023000.0,8612000.0,,47229000.0,746518000.0,,52279000.0,347901000.0,,31769000.0,1758271000.0,29904000.0,78618000.0,325364000.0,433886000.0,87484000.0,,,19683000.0,,866254000.0,-6062000.0,,1758271000.0,14935000.0,45468000.0,,18139000.0,-125000.0,,17252000.0,,69147000.0,,233483000.0,,427671000.0,24519000.0,,128335000.0,12818000.0,250000.0,,-171641000.0,,5456000.0,-69227000.0,-7385000.0,
2012-06-30,1014688000.0,173487000.0,841201000.0,129675000.0,,526732000.0,314469000.0,,319471000.0,112002000.0,207469000.0,2.62,2.6,79188000.0,79834000.0,195607000.0,,193705000.0,17038000.0,8702000.0,,43785000.0,782887000.0,,54257000.0,347901000.0,,30737000.0,1838066000.0,32007000.0,69708000.0,344925000.0,446640000.0,88944000.0,,,20314000.0,,938590000.0,-5833000.0,,1838066000.0,24987000.0,69005000.0,,28229000.0,-111000.0,,13852000.0,,90168000.0,,346882000.0,,636010000.0,24519000.0,,128335000.0,18544000.0,250000.0,,-267123000.0,,9426000.0,-100408000.0,-20649000.0,
2012-09-30,1377247000.0,236168000.0,1141079000.0,177406000.0,,714776000.0,426303000.0,,432214000.0,157028000.0,275186000.0,3.48,3.45,79135000.0,79780000.0,211181000.0,,185172000.0,17410000.0,45840000.0,,30986000.0,776081000.0,,59604000.0,348239000.0,,28996000.0,1911201000.0,27026000.0,86409000.0,352594000.0,466029000.0,94694000.0,,,21078000.0,,1006307000.0,-3829000.0,,1911201000.0,35139000.0,95348000.0,-5697000.0,20207000.0,262000.0,,998000.0,,103587000.0,,495437000.0,,784601000.0,81444000.0,,128335000.0,29867000.0,250000.0,,-352279000.0,,10371000.0,-149231000.0,-6073000.0,145874000.0
2012-12-31,365451000.0,60885000.0,304566000.0,48541000.0,,195482000.0,109084000.0,,110634000.0,41141000.0,69493000.0,0.88,0.88,78789000.0,79278000.0,184563000.0,,209078000.0,18723000.0,10335000.0,,35916000.0,791789000.0,,62026000.0,348239000.0,,28064000.0,2037652000.0,32221000.0,117413000.0,379944000.0,529578000.0,100612000.0,,,21163000.0,,1075800000.0,-4540000.0,,2037652000.0,9934000.0,26710000.0,,24256000.0,1313000.0,,,,33268000.0,,144806000.0,,165193000.0,23020000.0,,,7788000.0,,,-133417000.0,,503000.0,-37914000.0,-26525000.0,
2013-03-31,715683000.0,121187000.0,594496000.0,101075000.0,,392936000.0,201560000.0,,205228000.0,72323000.0,132905000.0,1.69,1.68,78696000.0,79263000.0,229662000.0,,192796000.0,17963000.0,10578000.0,,60239000.0,804424000.0,,63182000.0,447799000.0,,56517000.0,2065909000.0,39100000.0,84966000.0,396678000.0,520744000.0,93980000.0,,,23006000.0,,1139212000.0,-5908000.0,,2065909000.0,19913000.0,54320000.0,,8202000.0,553000.0,,,,43371000.0,,225468000.0,,329141000.0,138171000.0,,124918000.0,14769000.0,,,-120082000.0,,2395000.0,-85565000.0,19821000.0,
