Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,12239000000.0,,,,2936000000.0,,,,,191000000.0,336000000.0,2.04,2.03,,,1057000000.0,,,1548000000.0,485000000.0,,263000000.0,5981000000.0,,2754000000.0,2784000000.0,1416000000.0,806000000.0,14240000000.0,,,,3577000000.0,,328000000.0,,1147000000.0,10318000000.0,8139000000.0,-1261000000.0,3753000000.0,14240000000.0,,,,-235000000.0,-232000000.0,,-12000000.0,,,-61000000.0,1345000000.0,,,,,26000000.0,239000000.0,,,-203000000.0,,,-1123000000.0,36000000.0,
2010-03-31,3126000000.0,,,,727000000.0,,,,,147000000.0,30000000.0,0.18,0.18,,,689000000.0,,,1599000000.0,,,825000000.0,5922000000.0,,2660000000.0,2687000000.0,1343000000.0,641000000.0,13756000000.0,,,,3418000000.0,,319000000.0,,1008000000.0,9967000000.0,8080000000.0,-1353000000.0,3592000000.0,13756000000.0,,,,,,,,,,,-54000000.0,,,,,16000000.0,45000000.0,,,-93000000.0,,,-225000000.0,-368000000.0,
2010-06-30,6584000000.0,,,,1472000000.0,,,,,258000000.0,302000000.0,1.82,1.81,165600000.0,166800000.0,784000000.0,,,1541000000.0,,,780000000.0,5886000000.0,,2533000000.0,2526000000.0,1238000000.0,658000000.0,13366000000.0,,,,3373000000.0,,301000000.0,,851000000.0,9727000000.0,8262000000.0,-1603000000.0,3450000000.0,13366000000.0,,23000000.0,,,,,,,,,367000000.0,,,,,18000000.0,93000000.0,,,-147000000.0,,,-476000000.0,-273000000.0,74000000.0
2010-09-30,10044000000.0,,,,2211000000.0,,,,,352000000.0,564000000.0,3.41,3.39,165100000.0,166400000.0,930000000.0,,,1638000000.0,,,779000000.0,6305000000.0,,2620000000.0,2725000000.0,1297000000.0,637000000.0,14120000000.0,,,,3523000000.0,,316000000.0,,1053000000.0,10018000000.0,8433000000.0,-1280000000.0,3874000000.0,14120000000.0,,34000000.0,,,,,,,,,698000000.0,,,,,18000000.0,158000000.0,,,-152000000.0,,,-694000000.0,-127000000.0,153000000.0
2010-12-31,13423000000.0,,,408000000.0,2979000000.0,,,,,415000000.0,769000000.0,4.67,4.63,164500000.0,165900000.0,1341000000.0,,2447000000.0,1573000000.0,558000000.0,,278000000.0,7058000000.0,,2686000000.0,2719000000.0,1268000000.0,694000000.0,14975000000.0,,,,3625000000.0,,293000000.0,,968000000.0,11142000000.0,8548000000.0,-1411000000.0,3638000000.0,14975000000.0,,52000000.0,168000000.0,178000000.0,34000000.0,,-103000000.0,,,-1000000.0,1310000000.0,,,,,34000000.0,307000000.0,,,-949000000.0,,,-104000000.0,284000000.0,
2011-03-31,3533000000.0,,,,797000000.0,,,,351000000.0,92000000.0,228000000.0,1.42,1.4,160400000.0,162500000.0,796000000.0,,,1755000000.0,,,820000000.0,7084000000.0,,2696000000.0,2814000000.0,1283000000.0,672000000.0,15103000000.0,,,,3749000000.0,,302000000.0,,984000000.0,11108000000.0,8687000000.0,-1187000000.0,3766000000.0,15103000000.0,,11000000.0,,312000000.0,142000000.0,,1000000.0,,,10000000.0,-156000000.0,,,,,10000000.0,54000000.0,,,-45000000.0,,,-353000000.0,-545000000.0,
2011-06-30,7519000000.0,,,,1626000000.0,,1074000000.0,,851000000.0,220000000.0,568000000.0,3.57,3.52,159400000.0,161500000.0,982000000.0,,,1821000000.0,,,828000000.0,7239000000.0,,2759000000.0,2871000000.0,1280000000.0,713000000.0,15267000000.0,,,,3922000000.0,,305000000.0,,1036000000.0,10979000000.0,8938000000.0,-1083000000.0,4054000000.0,15267000000.0,,21000000.0,,508000000.0,176000000.0,,7000000.0,,,-7000000.0,252000000.0,,,,,52000000.0,134000000.0,,,325000000.0,,,-961000000.0,-359000000.0,
2011-09-30,11368000000.0,,,,2432000000.0,,1638000000.0,,1313000000.0,340000000.0,879000000.0,5.55,5.48,158500000.0,160500000.0,1301000000.0,,,1737000000.0,,,777000000.0,6940000000.0,,2669000000.0,2698000000.0,1174000000.0,662000000.0,14543000000.0,,,,3788000000.0,,286000000.0,,908000000.0,10637000000.0,9159000000.0,-1464000000.0,3662000000.0,14543000000.0,,27000000.0,,390000000.0,190000000.0,,16000000.0,,,8000000.0,777000000.0,,,,,56000000.0,235000000.0,,,494000000.0,,,-1270000000.0,-40000000.0,
2011-12-31,14885000000.0,,,445000000.0,3234000000.0,,2027000000.0,,1597000000.0,385000000.0,1095000000.0,6.96,6.87,157300000.0,159300000.0,1457000000.0,,2512000000.0,1607000000.0,673000000.0,,302000000.0,6694000000.0,,2721000000.0,2660000000.0,1125000000.0,795000000.0,14382000000.0,,,,3702000000.0,,272000000.0,,872000000.0,10936000000.0,9288000000.0,-1800000000.0,3249000000.0,14382000000.0,,36000000.0,-4000000.0,129000000.0,73000000.0,,3000000.0,,,-12000000.0,1436000000.0,,,,,56000000.0,390000000.0,,,353000000.0,,,-1632000000.0,116000000.0,
2012-03-31,3752000000.0,,,,851000000.0,,543000000.0,,51000000.0,,13000000.0,0.08,0.08,152800000.0,154500000.0,978000000.0,,,1830000000.0,,,844000000.0,6944000000.0,,2785000000.0,2729000000.0,1132000000.0,818000000.0,14834000000.0,,,,4558000000.0,,262000000.0,,993000000.0,11318000000.0,9213000000.0,-1653000000.0,3293000000.0,14834000000.0,,14000000.0,,303000000.0,143000000.0,,-2000000.0,,,-11000000.0,-2000000.0,,,,,44000000.0,68000000.0,,,-181000000.0,,,-312000000.0,-479000000.0,
2012-06-30,7707000000.0,,,,1672000000.0,,1178000000.0,,578000000.0,131000000.0,375000000.0,2.45,2.42,153200000.0,155000000.0,1017000000.0,,,1775000000.0,,,819000000.0,7151000000.0,,2719000000.0,2644000000.0,1067000000.0,817000000.0,14817000000.0,,,,4565000000.0,,241000000.0,,928000000.0,11142000000.0,9486000000.0,-1793000000.0,3461000000.0,14817000000.0,,31000000.0,,436000000.0,135000000.0,,7000000.0,,,-12000000.0,434000000.0,,,,,52000000.0,146000000.0,,,-430000000.0,,,-443000000.0,-440000000.0,
2012-09-30,11552000000.0,,,,2488000000.0,,1784000000.0,,1064000000.0,253000000.0,714000000.0,4.66,4.61,153700000.0,155500000.0,1392000000.0,,,1777000000.0,,,799000000.0,7777000000.0,,2759000000.0,2706000000.0,1066000000.0,874000000.0,15606000000.0,,,,4490000000.0,,263000000.0,,904000000.0,11474000000.0,9734000000.0,-1704000000.0,3861000000.0,15606000000.0,,53000000.0,,310000000.0,92000000.0,,15000000.0,,,-18000000.0,1039000000.0,,,,,53000000.0,226000000.0,,,-876000000.0,,,-241000000.0,-65000000.0,
2012-12-31,15200000000.0,,,470000000.0,3335000000.0,,2262000000.0,,1402000000.0,338000000.0,941000000.0,6.13,6.06,153400000.0,155100000.0,1306000000.0,,2568000000.0,1687000000.0,859000000.0,,392000000.0,7715000000.0,,2888000000.0,2761000000.0,1085000000.0,1007000000.0,15878000000.0,,,,4461000000.0,,231000000.0,,915000000.0,11556000000.0,9871000000.0,-1666000000.0,4063000000.0,15878000000.0,,73000000.0,-225000000.0,-90000000.0,-29000000.0,,30000000.0,,,-45000000.0,1787000000.0,,,,,122000000.0,411000000.0,,,-1611000000.0,,,-351000000.0,-151000000.0,
