Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,2612800000.0,,,,,1023700000.0,1589100000.0,-151600000.0,,611700000.0,825800000.0,12.44,12.41,66366000.0,66548000.0,260600000.0,42600000.0,248300000.0,,,,165600000.0,6699000000.0,,738500000.0,7549200000.0,3246500000.0,435800000.0,35651000000.0,46700000.0,195200000.0,,6523600000.0,,7645900000.0,,165800000.0,16350000000.0,2239900000.0,-126200000.0,19301000000.0,35651000000.0,,33400000.0,-56900000.0,14400000.0,,,6900000.0,-24300000.0,,30700000.0,1083100000.0,159900000.0,439800000.0,,,0.0,157900000.0,,0.0,544800000.0,,2500000.0,-1665200000.0,-37300000.0,
2010-03-31,693200000.0,,,,,278500000.0,414700000.0,-15800000.0,,158700000.0,240200000.0,3.63,3.62,66234000.0,66428000.0,444200000.0,46300000.0,316900000.0,,,,165500000.0,5483000000.0,,734700000.0,7978600000.0,3535000000.0,433100000.0,35202400000.0,36300000.0,317600000.0,,5163900000.0,,7787400000.0,,170300000.0,15945400000.0,2404200000.0,-133800000.0,19189700000.0,35202400000.0,,9300000.0,-7200000.0,48300000.0,,,12800000.0,-10400000.0,,7800000.0,355700000.0,5100000.0,5500000.0,,,,26300000.0,,,-19800000.0,,2400000.0,-152300000.0,183600000.0,
2010-06-30,1507100000.0,,,,,577300000.0,929800000.0,-50800000.0,,367600000.0,510900000.0,7.75,7.73,65906000.0,66104000.0,363600000.0,45000000.0,330800000.0,,,,103800000.0,4602000000.0,,729500000.0,7962800000.0,3502000000.0,424600000.0,34258900000.0,37600000.0,237900000.0,,4334300000.0,,7775900000.0,,172900000.0,14807500000.0,2599300000.0,-136800000.0,19383500000.0,34258900000.0,,18900000.0,-17800000.0,65000000.0,,,13900000.0,-8200000.0,,7200000.0,649100000.0,5100000.0,6100000.0,,,,53800000.0,,,-7700000.0,,3100000.0,-538400000.0,103000000.0,
2010-09-30,2240500000.0,,,,,867800000.0,1372700000.0,-78000000.0,,539000000.0,755200000.0,11.42,11.39,66556000.0,66744000.0,568200000.0,44300000.0,333400000.0,,,,106900000.0,4049200000.0,,740600000.0,7961000000.0,3470500000.0,427200000.0,33686500000.0,43800000.0,205500000.0,,3666200000.0,,,,177400000.0,13717900000.0,2766800000.0,-124800000.0,19900800000.0,33686500000.0,,27900000.0,-31300000.0,63900000.0,,,-4800000.0,-2000000.0,,21700000.0,963000000.0,10200000.0,11500000.0,,,,97700000.0,,,-68700000.0,,3600000.0,-586700000.0,307600000.0,
2010-12-31,3003700000.0,,,,,1172600000.0,1831100000.0,-109200000.0,1721900000.0,769800000.0,951400000.0,14.35,14.31,66299000.0,66495000.0,855200000.0,50200000.0,297500000.0,,18300000.0,,146100000.0,5387500000.0,,786800000.0,7983600000.0,3453300000.0,394400000.0,35046100000.0,51800000.0,270400000.0,17600000.0,4781200000.0,,8018500000.0,71900000.0,191500000.0,14917900000.0,2885800000.0,-104100000.0,20060100000.0,35046100000.0,,40900000.0,22300000.0,28700000.0,,,6100000.0,6100000.0,,5300000.0,1356400000.0,10200000.0,11900000.0,,,19600000.0,160000000.0,,,-108400000.0,,5800000.0,-653400000.0,594600000.0,
2011-03-31,831600000.0,,,,,307500000.0,524100000.0,-12500000.0,511600000.0,54500000.0,456600000.0,6.83,6.81,66857000.0,67062000.0,664700000.0,54600000.0,394000000.0,,,,150400000.0,4587600000.0,,797000000.0,7985400000.0,3420200000.0,878300000.0,34709000000.0,58400000.0,361800000.0,,3744100000.0,,,,192400000.0,13852900000.0,3248800000.0,244900000.0,20787500000.0,34709000000.0,,12000000.0,-152100000.0,96400000.0,,,19500000.0,6300000.0,,2400000.0,362100000.0,5100000.0,5500000.0,,,,41400000.0,,600000.0,-41600000.0,,,-511000000.0,-190500000.0,
2011-06-30,1669900000.0,,,,,611300000.0,1058600000.0,-37700000.0,1020900000.0,268200000.0,750300000.0,11.23,11.2,66808000.0,67018000.0,693600000.0,55000000.0,385800000.0,,,,178900000.0,5555100000.0,,812800000.0,7985400000.0,3379100000.0,816300000.0,35589200000.0,39700000.0,241200000.0,,4522700000.0,,,,201100000.0,14616100000.0,3448600000.0,208300000.0,20902500000.0,35589200000.0,,24700000.0,-151700000.0,88000000.0,,,20500000.0,-12400000.0,,6800000.0,576100000.0,5100000.0,5800000.0,,,,88400000.0,,500000.0,-70200000.0,,500000.0,-667500000.0,-161600000.0,
2011-09-30,2544100000.0,,,,,913400000.0,1630700000.0,-63900000.0,1566800000.0,499100000.0,1066400000.0,15.99,15.94,66690000.0,66901000.0,829300000.0,46600000.0,369500000.0,,,,168400000.0,9091300000.0,,813800000.0,7984400000.0,3345800000.0,611800000.0,38887600000.0,40700000.0,204100000.0,,7922300000.0,,,,190000000.0,17953800000.0,3671600000.0,91900000.0,20864300000.0,38887600000.0,,37500000.0,-130800000.0,72500000.0,,,10900000.0,-11300000.0,,14700000.0,999800000.0,5100000.0,6000000.0,,,,129400000.0,,500000.0,-111000000.0,,700000.0,-914700000.0,-25900000.0,
2011-12-31,3280600000.0,,,,,1259500000.0,2021100000.0,-84600000.0,1936500000.0,122100000.0,1812300000.0,27.23,27.15,66547000.0,66762000.0,1042300000.0,47600000.0,289400000.0,,32000000.0,,232600000.0,10945800000.0,,821900000.0,7984000000.0,3312800000.0,653700000.0,40758700000.0,31100000.0,250200000.0,,9615200000.0,,7419100000.0,,187600000.0,19136400000.0,4324600000.0,111600000.0,21552000000.0,40758700000.0,,51300000.0,-658700000.0,13200000.0,,,27100000.0,-21000000.0,,13200000.0,1346300000.0,10200000.0,11300000.0,,,0.0,172200000.0,,500000.0,-153600000.0,,600000.0,-1005600000.0,187100000.0,
2012-03-31,774600000.0,,,,,323400000.0,451200000.0,-17800000.0,433400000.0,167100000.0,266600000.0,4.03,4.02,66163000.0,66370000.0,1061700000.0,45400000.0,360000000.0,,,,149700000.0,9354600000.0,,816500000.0,7984700000.0,3280300000.0,812500000.0,39289100000.0,29000000.0,343100000.0,,8109900000.0,,,,196400000.0,17670000000.0,4243600000.0,164800000.0,21549100000.0,39289100000.0,,14300000.0,-19200000.0,70300000.0,,,-4700000.0,-2100000.0,,2300000.0,395600000.0,0.0,9100000.0,,,,26700000.0,,0.0,-40400000.0,,2800000.0,-335800000.0,19400000.0,
2012-06-30,1570500000.0,,,,,650100000.0,920400000.0,41500000.0,944100000.0,424400000.0,511500000.0,1.55,1.54,331078000.0,332162000.0,1293200000.0,42700000.0,336900000.0,,,,160500000.0,8240900000.0,,703700000.0,7520600000.0,2888700000.0,1551500000.0,37945900000.0,38700000.0,213200000.0,,6659500000.0,,,,218100000.0,16247500000.0,4340300000.0,114300000.0,21620000000.0,37945900000.0,,35000000.0,45000000.0,73600000.0,,,2300000.0,8500000.0,,4600000.0,657800000.0,0.0,9300000.0,,,,63600000.0,,0.0,71800000.0,,3400000.0,-478700000.0,250900000.0,
2012-09-30,2253700000.0,,,,,937300000.0,1316400000.0,23500000.0,1339900000.0,601300000.0,729500000.0,2.2,2.2,331377000.0,332458000.0,2016900000.0,62000000.0,296900000.0,,,,245700000.0,10016800000.0,,705400000.0,7538300000.0,2879500000.0,1677500000.0,39858000000.0,44500000.0,200100000.0,,8389500000.0,,,,254100000.0,18069800000.0,4408600000.0,119700000.0,21708800000.0,39858000000.0,,48800000.0,67600000.0,32400000.0,,,19200000.0,14000000.0,,12000000.0,897200000.0,23500000.0,15400000.0,,,,103900000.0,,0.0,-49600000.0,,3700000.0,127000000.0,974600000.0,
2012-12-31,2914600000.0,,,,,1222600000.0,1692000000.0,1400000.0,,786700000.0,896300000.0,2.71,2.7,331252000.0,332319000.0,1604700000.0,56600000.0,267500000.0,,34100000.0,,204300000.0,8717900000.0,,724000000.0,7566900000.0,2853700000.0,1825400000.0,38863200000.0,41700000.0,240700000.0,,7616900000.0,,7575700000.0,,220500000.0,17357500000.0,3993400000.0,209300000.0,21419100000.0,38863200000.0,,61400000.0,82200000.0,300000.0,,,50700000.0,11200000.0,,-10300000.0,1216800000.0,32500000.0,29500000.0,,,162900000.0,141800000.0,,0.0,-206000000.0,,4600000.0,-448400000.0,562400000.0,
2013-03-31,718600000.0,,,,,313100000.0,405500000.0,-17900000.0,387600000.0,150200000.0,235800000.0,0.71,0.71,331953000.0,333372000.0,1843400000.0,60700000.0,309200000.0,,,,172500000.0,12297800000.0,,709900000.0,7569000000.0,2827800000.0,1842000000.0,42421800000.0,31300000.0,344400000.0,,11786700000.0,,,,227000000.0,20783800000.0,4079000000.0,230000000.0,21549800000.0,42421800000.0,,12400000.0,-7300000.0,42100000.0,,,-25400000.0,-10400000.0,,0.0,396000000.0,9300000.0,8500000.0,,80000000.0,,20200000.0,,,-21000000.0,,300000.0,-136300000.0,238700000.0,
