Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-11-30,13157000000.0,8104000000.0,,,1590000000.0,11003000000.0,2154000000.0,-348000000.0,1806000000.0,16000000.0,1790000000.0,2.27,2.24,,,538000000.0,,,320000000.0,,,298000000.0,1518000000.0,,29870000000.0,3451000000.0,,650000000.0,36835000000.0,568000000.0,874000000.0,,4967000000.0,,,,736000000.0,,15770000000.0,462000000.0,22035000000.0,36835000000.0,,50000000.0,,-81000000.0,-10000000.0,,,74000000.0,,29000000.0,3342000000.0,,,,,,3380000000.0,,-31000000.0,-3384000000.0,,,-93000000.0,-112000000.0,
2010-02-28,3095000000.0,2099000000.0,,,396000000.0,2840000000.0,255000000.0,-95000000.0,160000000.0,-15000000.0,175000000.0,0.22,0.22,,,753000000.0,,,321000000.0,,,279000000.0,1745000000.0,,29702000000.0,3326000000.0,,643000000.0,36732000000.0,528000000.0,912000000.0,,5667000000.0,,,,713000000.0,,15657000000.0,-273000000.0,21419000000.0,36732000000.0,,15000000.0,,56000000.0,12000000.0,,,-16000000.0,,-24000000.0,396000000.0,,,,,,1169000000.0,,-53000000.0,-1116000000.0,,,976000000.0,215000000.0,
2010-05-31,6290000000.0,4192000000.0,,,800000000.0,5686000000.0,604000000.0,-193000000.0,411000000.0,-16000000.0,427000000.0,0.54,0.54,,,594000000.0,,,297000000.0,,,240000000.0,1586000000.0,,29317000000.0,3214000000.0,,623000000.0,36029000000.0,548000000.0,928000000.0,,6763000000.0,,,,721000000.0,,15830000000.0,-1029000000.0,20864000000.0,36029000000.0,,23000000.0,,122000000.0,-2000000.0,,,31000000.0,,-5000000.0,1794000000.0,,,,,,2168000000.0,,-74000000.0,-2094000000.0,,,425000000.0,56000000.0,
2010-08-31,,6480000000.0,,,1181000000.0,8710000000.0,2006000000.0,-282000000.0,1724000000.0,10000000.0,1730000000.0,2.2,2.16,789000000.0,806000000.0,527000000.0,,,291000000.0,,,239000000.0,1445000000.0,,30162000000.0,3287000000.0,,643000000.0,36847000000.0,541000000.0,991000000.0,,5876000000.0,,,,732000000.0,,17055000000.0,-545000000.0,22595000000.0,36847000000.0,,33000000.0,,58000000.0,-13000000.0,,,11000000.0,,87000000.0,3084000000.0,,,,,,2838000000.0,,-102000000.0,-2736000000.0,,,-327000000.0,-11000000.0,
2010-11-30,,9092000000.0,,,1614000000.0,12122000000.0,2347000000.0,-368000000.0,1979000000.0,1000000.0,1978000000.0,2.51,2.47,788000000.0,805000000.0,429000000.0,,,320000000.0,,,247000000.0,1244000000.0,,30967000000.0,3320000000.0,1320000000.0,639000000.0,37490000000.0,503000000.0,1094000000.0,,5755000000.0,,,,693000000.0,,17224000000.0,-254000000.0,23031000000.0,37490000000.0,,43000000.0,,-106000000.0,12000000.0,,,-36000000.0,,81000000.0,3818000000.0,,,,,,3579000000.0,,-78000000.0,-3501000000.0,,,-404000000.0,-109000000.0,
2011-02-28,,2395000000.0,,,422000000.0,3184000000.0,235000000.0,-78000000.0,157000000.0,5000000.0,152000000.0,0.19,0.19,790000000.0,794000000.0,465000000.0,,,343000000.0,,,249000000.0,1365000000.0,,31225000000.0,3373000000.0,1335000000.0,667000000.0,37965000000.0,516000000.0,1121000000.0,,6009000000.0,,,,706000000.0,,17178000000.0,141000000.0,23435000000.0,37965000000.0,,17000000.0,,71000000.0,19000000.0,,,1000000.0,,-89000000.0,412000000.0,,,,,,172000000.0,,-14000000.0,-158000000.0,,,-230000000.0,36000000.0,
2011-05-31,,4916000000.0,,,862000000.0,6525000000.0,514000000.0,-153000000.0,361000000.0,3000000.0,358000000.0,0.45,0.45,791000000.0,793000000.0,557000000.0,,,365000000.0,,,217000000.0,1499000000.0,,32822000000.0,3424000000.0,1396000000.0,622000000.0,39763000000.0,552000000.0,1137000000.0,,6521000000.0,,,,712000000.0,,17186000000.0,542000000.0,23852000000.0,39763000000.0,,29000000.0,,121000000.0,35000000.0,,,26000000.0,,-52000000.0,1801000000.0,,,,,,1622000000.0,,3000000.0,-1625000000.0,,,-59000000.0,128000000.0,
2011-08-31,,7730000000.0,,,1282000000.0,10149000000.0,1947000000.0,-244000000.0,1703000000.0,8000000.0,1695000000.0,2.14,2.14,791000000.0,793000000.0,430000000.0,,,366000000.0,,,248000000.0,1397000000.0,,33243000000.0,3430000000.0,1396000000.0,560000000.0,40026000000.0,548000000.0,1084000000.0,,6881000000.0,,,,679000000.0,,18319000000.0,585000000.0,24752000000.0,40026000000.0,,39000000.0,,118000000.0,36000000.0,,,17000000.0,,-68000000.0,3016000000.0,,,,,,2435000000.0,,-25000000.0,-2410000000.0,,,-608000000.0,1000000.0,
2011-11-30,,10299000000.0,,,1717000000.0,13538000000.0,2255000000.0,-343000000.0,1912000000.0,,1912000000.0,2.43,2.42,787000000.0,789000000.0,450000000.0,,,374000000.0,,,225000000.0,1312000000.0,,32054000000.0,3322000000.0,1330000000.0,619000000.0,38637000000.0,576000000.0,1123000000.0,,6105000000.0,,,,647000000.0,,18349000000.0,-209000000.0,23832000000.0,38637000000.0,,46000000.0,,43000000.0,54000000.0,,,67000000.0,,-41000000.0,3766000000.0,,,,,,2696000000.0,,-50000000.0,-2646000000.0,,,-1093000000.0,21000000.0,9000000.0
2012-02-29,,2694000000.0,,,421000000.0,3664000000.0,-82000000.0,-59000000.0,-141000000.0,-2000000.0,-139000000.0,-0.18,-0.18,778000000.0,778000000.0,471000000.0,,,381000000.0,,,184000000.0,2173000000.0,,31475000000.0,3188000000.0,1319000000.0,808000000.0,38963000000.0,517000000.0,1020000000.0,,6544000000.0,,,,802000000.0,,18015000000.0,-67000000.0,23653000000.0,38963000000.0,,14000000.0,,22000000.0,4000000.0,,,-62000000.0,,10000000.0,322000000.0,,,,,,267000000.0,,-19000000.0,-248000000.0,,,-50000000.0,21000000.0,
2012-05-31,,5172000000.0,,,852000000.0,6949000000.0,253000000.0,-298000000.0,-127000000.0,-2000000.0,-125000000.0,-0.16,-0.16,779000000.0,779000000.0,900000000.0,,,377000000.0,,,203000000.0,2169000000.0,,32133000000.0,3135000000.0,1302000000.0,723000000.0,39462000000.0,532000000.0,1009000000.0,,7262000000.0,,,,782000000.0,,17835000000.0,-521000000.0,23026000000.0,39462000000.0,,22000000.0,,29000000.0,7000000.0,,,-31000000.0,,-38000000.0,1458000000.0,,,,,,1997000000.0,,-33000000.0,-1456000000.0,,,483000000.0,450000000.0,
2012-08-31,,7769000000.0,,,1261000000.0,10338000000.0,1466000000.0,-257000000.0,1336000000.0,6000000.0,1330000000.0,1.71,1.71,778000000.0,779000000.0,568000000.0,,,364000000.0,,,221000000.0,1941000000.0,,31972000000.0,3146000000.0,1307000000.0,716000000.0,39082000000.0,561000000.0,970000000.0,,5936000000.0,,,,664000000.0,,18969000000.0,-434000000.0,24193000000.0,39082000000.0,,30000000.0,,54000000.0,-7000000.0,,-34000000.0,-4000000.0,,-103000000.0,2476000000.0,,,,,,2164000000.0,,-56000000.0,-1600000000.0,,,-737000000.0,118000000.0,
2012-11-30,,10320000000.0,,,1720000000.0,13740000000.0,1642000000.0,-340000000.0,1302000000.0,4000000.0,1298000000.0,1.67,1.67,778000000.0,779000000.0,465000000.0,,,390000000.0,,,236000000.0,1821000000.0,,32137000000.0,3174000000.0,1314000000.0,715000000.0,39161000000.0,549000000.0,845000000.0,,7340000000.0,,,,724000000.0,,18479000000.0,-207000000.0,23929000000.0,39161000000.0,,39000000.0,,15000000.0,16000000.0,,-148000000.0,-24000000.0,,-192000000.0,2999000000.0,,,,,,2332000000.0,,-52000000.0,-1772000000.0,,,-1190000000.0,15000000.0,-4000000.0
2013-02-28,,2599000000.0,,,460000000.0,3448000000.0,145000000.0,-106000000.0,39000000.0,2000000.0,37000000.0,0.05,0.05,776000000.0,778000000.0,476000000.0,,,383000000.0,,,196000000.0,1792000000.0,,31726000000.0,3143000000.0,1303000000.0,711000000.0,38675000000.0,570000000.0,798000000.0,,6782000000.0,,,,748000000.0,,18322000000.0,-399000000.0,23523000000.0,38675000000.0,,18000000.0,,134000000.0,-5000000.0,,-76000000.0,23000000.0,,-23000000.0,399000000.0,,,,,,241000000.0,,-4000000.0,-167000000.0,,,-203000000.0,11000000.0,
2013-05-31,,5087000000.0,,,908000000.0,6775000000.0,297000000.0,-217000000.0,80000000.0,2000000.0,78000000.0,0.1,0.1,775000000.0,777000000.0,711000000.0,,,381000000.0,,,187000000.0,2324000000.0,,32481000000.0,3134000000.0,1298000000.0,742000000.0,39979000000.0,627000000.0,857000000.0,,8055000000.0,,,,796000000.0,,18170000000.0,-473000000.0,23280000000.0,39979000000.0,,24000000.0,,139000000.0,-5000000.0,,-209000000.0,82000000.0,,-139000000.0,1556000000.0,,,,,,1447000000.0,,-4000000.0,-1373000000.0,,,84000000.0,246000000.0,
2013-08-31,,8003000000.0,,,1347000000.0,10549000000.0,1249000000.0,-234000000.0,1015000000.0,3000000.0,1012000000.0,1.31,1.3,775000000.0,777000000.0,981000000.0,,,388000000.0,,,371000000.0,2634000000.0,,32498000000.0,3160000000.0,1278000000.0,823000000.0,40393000000.0,601000000.0,929000000.0,,7488000000.0,,,,853000000.0,,18911000000.0,-251000000.0,24260000000.0,40393000000.0,,32000000.0,,172000000.0,-1000000.0,,-277000000.0,50000000.0,,-132000000.0,2359000000.0,,,,,,1812000000.0,,65000000.0,-1807000000.0,,,-29000000.0,516000000.0,
