Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,7595000000.0,,,,,6574000000.0,1021000000.0,,,268000000.0,747000000.0,2.64,2.57,283200000.0,291100000.0,217000000.0,,2052000000.0,,,,463000000.0,13989000000.0,,461000000.0,6078000000.0,791000000.0,439000000.0,22958000000.0,,260000000.0,,12640000000.0,,129000000.0,,871000000.0,17527000000.0,7335000000.0,-1675000000.0,5379000000.0,22958000000.0,,209000000.0,,63000000.0,,,,,,,375000000.0,,,,158000000.0,274000000.0,140000000.0,,,-139000000.0,,,-617000000.0,-365000000.0,182000000.0
2010-03-31,1904000000.0,,,,,1631000000.0,273000000.0,,,61000000.0,178000000.0,0.65,0.63,275900000.0,283400000.0,422000000.0,,1983000000.0,,,,462000000.0,14268000000.0,,452000000.0,5887000000.0,770000000.0,1274000000.0,22959000000.0,,334000000.0,,12776000000.0,,,,943000000.0,17502000000.0,7500000000.0,-1871000000.0,5402000000.0,22959000000.0,,66000000.0,,-45000000.0,,,,,,,464000000.0,,,,10000000.0,47000000.0,33000000.0,,,-323000000.0,,,17000000.0,205000000.0,10000000.0
2010-06-30,3802000000.0,,,,,3261000000.0,541000000.0,,,121000000.0,331000000.0,1.19,1.18,278400000.0,282600000.0,260000000.0,,1994000000.0,,,,543000000.0,15497000000.0,14000000.0,450000000.0,5710000000.0,753000000.0,1245000000.0,23956000000.0,,350000000.0,,14138000000.0,,,,1023000000.0,18478000000.0,7605000000.0,-1961000000.0,5428000000.0,23956000000.0,,123000000.0,,-2000000.0,,,,,,,872000000.0,,,,15000000.0,65000000.0,71000000.0,,,-776000000.0,,,-103000000.0,43000000.0,63000000.0
2010-09-30,5603000000.0,,,,,4799000000.0,804000000.0,,,182000000.0,475000000.0,1.71,1.68,278700000.0,282200000.0,335000000.0,,2086000000.0,,,,532000000.0,14612000000.0,15000000.0,468000000.0,5976000000.0,754000000.0,1247000000.0,23358000000.0,,383000000.0,,11819000000.0,,,,876000000.0,17514000000.0,7700000000.0,-1741000000.0,5792000000.0,23358000000.0,,166000000.0,,40000000.0,,,,,,,773000000.0,,,,17000000.0,90000000.0,115000000.0,,,-2288000000.0,,,1599000000.0,118000000.0,153000000.0
2010-12-31,8512000000.0,,,,,7286000000.0,1226000000.0,,,300000000.0,706000000.0,2.41,2.37,293400000.0,298100000.0,346000000.0,,2701000000.0,,-267000000.0,,624000000.0,14519000000.0,15000000.0,781000000.0,8647000000.0,3611000000.0,807000000.0,28982000000.0,,584000000.0,,12949000000.0,,663000000.0,,1154000000.0,20676000000.0,7861000000.0,-1917000000.0,8251000000.0,28982000000.0,,221000000.0,72000000.0,69000000.0,,,,,,,787000000.0,,,,34000000.0,2048000000.0,180000000.0,,,-2558000000.0,,,1838000000.0,129000000.0,192000000.0
2011-03-31,2759000000.0,,,,,2363000000.0,396000000.0,,,103000000.0,246000000.0,0.72,0.71,339400000.0,345400000.0,682000000.0,,2650000000.0,,,,681000000.0,15211000000.0,16000000.0,791000000.0,8895000000.0,3547000000.0,1040000000.0,29802000000.0,,604000000.0,,13259000000.0,,,,1798000000.0,21315000000.0,8039000000.0,-1714000000.0,8423000000.0,29802000000.0,,74000000.0,,-108000000.0,,,,,,,582000000.0,,,,6000000.0,3000000.0,56000000.0,,,-257000000.0,,,34000000.0,336000000.0,36000000.0
2011-06-30,5570000000.0,,,,,4740000000.0,830000000.0,,,190000000.0,504000000.0,1.49,1.46,338700000.0,344000000.0,300000000.0,,2785000000.0,,,,571000000.0,15931000000.0,15000000.0,798000000.0,8975000000.0,3484000000.0,1059000000.0,30496000000.0,,618000000.0,,13987000000.0,,,,1792000000.0,22031000000.0,8233000000.0,-1698000000.0,8398000000.0,30496000000.0,,121000000.0,,18000000.0,,,,,,,1161000000.0,,,,20000000.0,87000000.0,99000000.0,,,-562000000.0,,,-632000000.0,-46000000.0,14000000.0
2011-09-30,8293000000.0,,,,,7122000000.0,1171000000.0,,,274000000.0,702000000.0,2.08,2.05,336700000.0,341800000.0,295000000.0,,2745000000.0,,,,538000000.0,14500000000.0,15000000.0,773000000.0,8835000000.0,3361000000.0,1022000000.0,28745000000.0,,676000000.0,,12765000000.0,,,,1743000000.0,20466000000.0,8377000000.0,-1900000000.0,8233000000.0,28745000000.0,,179000000.0,,36000000.0,,,,,,,1413000000.0,,,,28000000.0,102000000.0,151000000.0,,,-619000000.0,,,-809000000.0,-51000000.0,74000000.0
2011-12-31,11287000000.0,,,,,9681000000.0,1606000000.0,,,378000000.0,,2.92,2.87,335500000.0,340900000.0,272000000.0,,3183000000.0,,-145000000.0,,427000000.0,15505000000.0,15000000.0,783000000.0,8770000000.0,3276000000.0,721000000.0,29552000000.0,,753000000.0,,13760000000.0,,301000000.0,,1024000000.0,21432000000.0,8594000000.0,-2370000000.0,8078000000.0,29552000000.0,220000000.0,235000000.0,143000000.0,494000000.0,,,,,,,1018000000.0,,,,30000000.0,97000000.0,241000000.0,,,-186000000.0,,,-896000000.0,-74000000.0,77000000.0
2012-03-31,2841000000.0,,,,,2439000000.0,402000000.0,,,97000000.0,,0.72,0.71,332400000.0,336600000.0,323000000.0,,3164000000.0,,,,415000000.0,16207000000.0,15000000.0,808000000.0,8896000000.0,3203000000.0,946000000.0,30271000000.0,,739000000.0,,14252000000.0,,,,1363000000.0,21855000000.0,8770000000.0,-2239000000.0,8358000000.0,30271000000.0,,55000000.0,,-61000000.0,,,,,,,-15000000.0,,,,3000000.0,23000000.0,71000000.0,,,222000000.0,,,-166000000.0,51000000.0,40000000.0
2012-06-30,5662000000.0,,,,,4866000000.0,796000000.0,,,193000000.0,,1.46,1.44,332200000.0,336100000.0,286000000.0,,3075000000.0,,,,443000000.0,17056000000.0,18000000.0,797000000.0,8713000000.0,3106000000.0,935000000.0,30807000000.0,,733000000.0,,15200000000.0,,,,1332000000.0,22597000000.0,6302000000.0,-2432000000.0,8152000000.0,30807000000.0,,105000000.0,,-81000000.0,,,,,,,269000000.0,,,,7000000.0,82000000.0,129000000.0,,,93000000.0,,,-366000000.0,14000000.0,99000000.0
