Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,14642000000.0,,,,3820000000.0,9136000000.0,5506000000.0,276000000.0,5204000000.0,599000000.0,4605000000.0,4.53,4.51,1016000000.0,1021000000.0,2884000000.0,10558000000.0,2109000000.0,2220000000.0,,,1161000000.0,18932000000.0,,5738000000.0,11335000000.0,,1057000000.0,39629000000.0,574000000.0,3299000000.0,,3873000000.0,,,,2488000000.0,,-4322000000.0,45000000.0,22667000000.0,39629000000.0,1049000000.0,284000000.0,,36000000.0,134000000.0,,3000000.0,71000000.0,,,6336000000.0,12418000000.0,1443000000.0,8252000000.0,,0.0,530000000.0,,-51000000.0,-3202000000.0,,,-2024000000.0,1110000000.0,
2010-03-31,3592000000.0,,,,884000000.0,2111000000.0,1481000000.0,84000000.0,1420000000.0,253000000.0,1167000000.0,1.19,1.18,982000000.0,988000000.0,2266000000.0,11851000000.0,2271000000.0,2202000000.0,,,1219000000.0,19809000000.0,,5619000000.0,11335000000.0,,1141000000.0,40366000000.0,882000000.0,3302000000.0,,6562000000.0,,,,2179000000.0,,-4852000000.0,160000000.0,22339000000.0,40366000000.0,252000000.0,68000000.0,,162000000.0,-21000000.0,,43000000.0,308000000.0,,,913000000.0,3160000000.0,141000000.0,2170000000.0,,,94000000.0,,12000000.0,-955000000.0,,,-576000000.0,-618000000.0,
2010-06-30,7396000000.0,,,,1870000000.0,4398000000.0,2998000000.0,178000000.0,2884000000.0,515000000.0,2369000000.0,2.44,2.43,970000000.0,976000000.0,1712000000.0,12811000000.0,2208000000.0,2112000000.0,,,1321000000.0,20164000000.0,,5630000000.0,11334000000.0,,1251000000.0,40800000000.0,722000000.0,2856000000.0,,5992000000.0,,,,2320000000.0,,-4266000000.0,317000000.0,23170000000.0,40800000000.0,503000000.0,166000000.0,,99000000.0,-120000000.0,,129000000.0,148000000.0,,,2477000000.0,7607000000.0,290000000.0,5246000000.0,,,271000000.0,,48000000.0,-2390000000.0,,,-1259000000.0,-1172000000.0,
2010-09-30,11212000000.0,,,,2827000000.0,6735000000.0,4477000000.0,283000000.0,4318000000.0,713000000.0,3605000000.0,3.73,3.71,966000000.0,971000000.0,2951000000.0,14098000000.0,2443000000.0,2044000000.0,,,1394000000.0,22930000000.0,,5643000000.0,11334000000.0,,1312000000.0,43534000000.0,759000000.0,3050000000.0,,6260000000.0,,,,2362000000.0,,-3394000000.0,255000000.0,24071000000.0,43534000000.0,756000000.0,248000000.0,,317000000.0,-164000000.0,,90000000.0,185000000.0,,,3779000000.0,11620000000.0,430000000.0,8001000000.0,,,398000000.0,,74000000.0,-3661000000.0,,,-51000000.0,67000000.0,
2010-12-31,15053000000.0,,,,3983000000.0,9508000000.0,5545000000.0,376000000.0,5317000000.0,690000000.0,4627000000.0,4.82,4.79,960000000.0,965000000.0,3287000000.0,14135000000.0,2335000000.0,2022000000.0,465000000.0,,1350000000.0,23129000000.0,,5522000000.0,11334000000.0,,1271000000.0,43486000000.0,716000000.0,3366000000.0,,6570000000.0,,,,2098000000.0,,-3508000000.0,153000000.0,23944000000.0,43486000000.0,1017000000.0,353000000.0,-151000000.0,210000000.0,-153000000.0,,-36000000.0,142000000.0,,,5787000000.0,14602000000.0,642000000.0,10485000000.0,,0.0,580000000.0,,97000000.0,-4152000000.0,,,-1232000000.0,403000000.0,
2011-03-31,3706000000.0,,,,1023000000.0,2413000000.0,1293000000.0,148000000.0,1306000000.0,181000000.0,1125000000.0,1.21,1.2,933000000.0,941000000.0,1266000000.0,14092000000.0,2517000000.0,2098000000.0,,,1716000000.0,21689000000.0,,5455000000.0,11504000000.0,2808000000.0,1258000000.0,42714000000.0,832000000.0,3334000000.0,,4249000000.0,,,,2657000000.0,,-2383000000.0,-9000000.0,24984000000.0,42714000000.0,273000000.0,77000000.0,,181000000.0,78000000.0,,62000000.0,-38000000.0,,,1030000000.0,7203000000.0,224000000.0,6933000000.0,,403000000.0,100000000.0,,6000000.0,-555000000.0,,,-2496000000.0,-2021000000.0,
2011-06-30,7665000000.0,,,,2153000000.0,5040000000.0,2625000000.0,277000000.0,2645000000.0,350000000.0,2295000000.0,2.47,2.45,930000000.0,938000000.0,5998000000.0,13174000000.0,2713000000.0,2230000000.0,,,1366000000.0,25481000000.0,,5516000000.0,11794000000.0,2782000000.0,1363000000.0,46936000000.0,870000000.0,3629000000.0,,4582000000.0,,,,2893000000.0,,-1945000000.0,45000000.0,25614000000.0,46936000000.0,534000000.0,174000000.0,,369000000.0,194000000.0,,-51000000.0,121000000.0,,,2566000000.0,13207000000.0,408000000.0,14019000000.0,,701000000.0,223000000.0,,5000000.0,291000000.0,,,-146000000.0,2711000000.0,
2011-09-30,11609000000.0,,,,3278000000.0,8459000000.0,3150000000.0,364000000.0,3099000000.0,350000000.0,2749000000.0,2.98,2.96,922000000.0,930000000.0,3891000000.0,13785000000.0,2725000000.0,2357000000.0,,,1672000000.0,24430000000.0,,5391000000.0,11768000000.0,2683000000.0,1493000000.0,45765000000.0,734000000.0,4197000000.0,,5315000000.0,,,,3016000000.0,,-4167000000.0,118000000.0,23553000000.0,45765000000.0,799000000.0,245000000.0,,386000000.0,273000000.0,,78000000.0,-5000000.0,,,3535000000.0,18481000000.0,575000000.0,18373000000.0,,701000000.0,343000000.0,,-11000000.0,-566000000.0,,,-2365000000.0,604000000.0,
2011-12-31,15582000000.0,,,,4486000000.0,11270000000.0,4312000000.0,448000000.0,4150000000.0,467000000.0,3683000000.0,4.07,4.04,905000000.0,912000000.0,6946000000.0,13695000000.0,2896000000.0,2484000000.0,595000000.0,,1572000000.0,27593000000.0,,5420000000.0,11750000000.0,2584000000.0,1524000000.0,48871000000.0,642000000.0,5028000000.0,,5754000000.0,,,,2744000000.0,,-8919000000.0,171000000.0,19029000000.0,48871000000.0,1060000000.0,341000000.0,-357000000.0,557000000.0,383000000.0,,133000000.0,-95000000.0,,773000000.0,5119000000.0,21183000000.0,749000000.0,20871000000.0,,701000000.0,567000000.0,,-45000000.0,-786000000.0,,,-674000000.0,3659000000.0,
2012-03-31,4048000000.0,,,,1076000000.0,2571000000.0,1477000000.0,124000000.0,1366000000.0,182000000.0,1184000000.0,1.5,1.48,791000000.0,800000000.0,4207000000.0,15167000000.0,2988000000.0,2499000000.0,,,1994000000.0,26855000000.0,,5392000000.0,12121000000.0,3445000000.0,1437000000.0,49250000000.0,891000000.0,5026000000.0,,8298000000.0,,,,3050000000.0,,-9444000000.0,106000000.0,18874000000.0,49250000000.0,259000000.0,75000000.0,,92000000.0,16000000.0,,133000000.0,226000000.0,,-538000000.0,972000000.0,6133000000.0,160000000.0,4740000000.0,,969000000.0,144000000.0,,0.0,-2346000000.0,,,-1365000000.0,-2739000000.0,
2012-06-30,8525000000.0,,,,2304000000.0,5459000000.0,3066000000.0,248000000.0,2823000000.0,373000000.0,2450000000.0,3.13,3.09,783000000.0,792000000.0,5849000000.0,16626000000.0,2708000000.0,2592000000.0,,,1787000000.0,29562000000.0,,5437000000.0,12428000000.0,3470000000.0,1329000000.0,52226000000.0,884000000.0,4732000000.0,,8032000000.0,,,,2993000000.0,,-9380000000.0,151000000.0,19239000000.0,52226000000.0,528000000.0,180000000.0,,-187000000.0,68000000.0,,-423000000.0,188000000.0,,-345000000.0,3347000000.0,12235000000.0,417000000.0,9118000000.0,,1671000000.0,316000000.0,,99000000.0,-4786000000.0,,,342000000.0,-1097000000.0,
2012-09-30,12844000000.0,,,,3431000000.0,8355000000.0,4489000000.0,359000000.0,4086000000.0,529000000.0,3557000000.0,4.57,4.51,779000000.0,789000000.0,5823000000.0,19551000000.0,2696000000.0,2769000000.0,,,1766000000.0,32605000000.0,,5381000000.0,12589000000.0,3680000000.0,1193000000.0,55448000000.0,878000000.0,5031000000.0,,8367000000.0,,,,3159000000.0,,-9348000000.0,147000000.0,19902000000.0,55448000000.0,815000000.0,271000000.0,,-198000000.0,175000000.0,,-213000000.0,189000000.0,,159000000.0,5070000000.0,18864000000.0,878000000.0,12544000000.0,,1990000000.0,489000000.0,,38000000.0,-7959000000.0,,,1766000000.0,-1123000000.0,
2012-12-31,17265000000.0,,,,4801000000.0,11688000000.0,5577000000.0,485000000.0,5009000000.0,664000000.0,4345000000.0,5.61,5.52,775000000.0,787000000.0,3257000000.0,20804000000.0,2518000000.0,2744000000.0,-225000000.0,,1886000000.0,31209000000.0,,5326000000.0,12662000000.0,3968000000.0,1133000000.0,54298000000.0,905000000.0,4791000000.0,,8191000000.0,,,,3013000000.0,,-10423000000.0,146000000.0,19060000000.0,54298000000.0,1088000000.0,362000000.0,21000000.0,-348000000.0,150000000.0,,-124000000.0,161000000.0,,165000000.0,5882000000.0,26241000000.0,1994000000.0,17372000000.0,,2390000000.0,689000000.0,,36000000.0,-9990000000.0,,,419000000.0,-3689000000.0,
2013-03-31,4238000000.0,,,,1158000000.0,2796000000.0,1442000000.0,164000000.0,1343000000.0,-91000000.0,1434000000.0,1.91,1.88,751000000.0,764000000.0,2530000000.0,18741000000.0,2528000000.0,2737000000.0,,,2159000000.0,28695000000.0,,5296000000.0,12604000000.0,3897000000.0,1148000000.0,51640000000.0,940000000.0,4195000000.0,,5142000000.0,,,,3122000000.0,,-10111000000.0,137000000.0,19491000000.0,51640000000.0,277000000.0,92000000.0,,-19000000.0,12000000.0,,10000000.0,35000000.0,,-342000000.0,1049000000.0,6964000000.0,2924000000.0,6013000000.0,,0.0,158000000.0,,6000000.0,1809000000.0,,,-3585000000.0,-727000000.0,
2013-06-30,8917000000.0,,,,2414000000.0,5925000000.0,2992000000.0,260000000.0,2748000000.0,147000000.0,2692000000.0,3.58,3.52,752000000.0,764000000.0,5806000000.0,16212000000.0,2674000000.0,2773000000.0,,,2208000000.0,29673000000.0,,5293000000.0,12578000000.0,3776000000.0,1290000000.0,52610000000.0,1006000000.0,3771000000.0,,4784000000.0,,,,3324000000.0,,-8854000000.0,-71000000.0,20594000000.0,52610000000.0,554000000.0,204000000.0,,133000000.0,34000000.0,,-88000000.0,117000000.0,,-382000000.0,2649000000.0,10774000000.0,3941000000.0,10968000000.0,,0.0,317000000.0,,50000000.0,3768000000.0,,,-3868000000.0,2549000000.0,
2013-09-30,13665000000.0,,,,3663000000.0,8985000000.0,4680000000.0,332000000.0,4251000000.0,191000000.0,4060000000.0,5.4,5.31,754000000.0,766000000.0,8281000000.0,14277000000.0,2670000000.0,2838000000.0,,,2049000000.0,30675000000.0,,5283000000.0,12572000000.0,3682000000.0,1450000000.0,57073000000.0,895000000.0,3937000000.0,,4843000000.0,,,,3324000000.0,,-7840000000.0,-97000000.0,21728000000.0,57073000000.0,842000000.0,304000000.0,,132000000.0,71000000.0,,174000000.0,6000000.0,,-15000000.0,4456000000.0,17878000000.0,4846000000.0,15743000000.0,,0.0,492000000.0,,44000000.0,1649000000.0,,,-1081000000.0,5024000000.0,
2013-12-31,18676000000.0,,,,5184000000.0,12809000000.0,5867000000.0,420000000.0,5265000000.0,184000000.0,5081000000.0,6.75,6.64,753000000.0,765000000.0,3805000000.0,15596000000.0,2697000000.0,3019000000.0,-2742000000.0,,2250000000.0,27367000000.0,,5349000000.0,14968000000.0,13262000000.0,1767000000.0,66125000000.0,787000000.0,4655000000.0,,7947000000.0,,3500000000.0,,6459000000.0,,-7634000000.0,-161000000.0,22096000000.0,66125000000.0,1286000000.0,403000000.0,-87000000.0,38000000.0,7000000.0,,59000000.0,-184000000.0,,221000000.0,6291000000.0,21965000000.0,5090000000.0,19123000000.0,,9434000000.0,693000000.0,,70000000.0,-8469000000.0,,,2726000000.0,548000000.0,
2014-03-31,4521000000.0,,,,1023000000.0,3157000000.0,1364000000.0,99000000.0,1204000000.0,131000000.0,1073000000.0,1.42,1.4,757000000.0,768000000.0,3687000000.0,16115000000.0,2514000000.0,2966000000.0,,,3020000000.0,28302000000.0,,5365000000.0,14832000000.0,13566000000.0,1525000000.0,67004000000.0,949000000.0,4749000000.0,,8203000000.0,,,,6541000000.0,,-7023000000.0,-126000000.0,22741000000.0,67004000000.0,518000000.0,87000000.0,,-180000000.0,3000000.0,,181000000.0,92000000.0,,-568000000.0,1142000000.0,2884000000.0,957000000.0,1811000000.0,,104000000.0,172000000.0,,44000000.0,-765000000.0,,,-495000000.0,-118000000.0,
