Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,,,1044582000.0,78161000.0,272898000.0,364967000.0,679615000.0,,686314000.0,46176000.0,640138000.0,7.67,7.53,83500000.0,85044000.0,664499000.0,120236000.0,226826000.0,152821000.0,21679000.0,,,1351271000.0,329608000.0,988782000.0,286515000.0,,48217000.0,3349512000.0,75744000.0,186682000.0,,394927000.0,,,,62600000.0,696725000.0,1001363000.0,-9596000.0,2652787000.0,3349512000.0,,,,,,,,,,,675193000.0,607356000.0,,115805000.0,,-318000.0,279941000.0,,1252000.0,-701690000.0,0.0,4892000.0,-22021000.0,-51719000.0,-147843000.0
2010-03-27,,,282036000.0,22888000.0,66864000.0,90895000.0,191141000.0,,195359000.0,23014000.0,172345000.0,2.04,2.0,84505000.0,86092000.0,420886000.0,293288000.0,269222000.0,172119000.0,22487000.0,,,1404533000.0,305802000.0,1030219000.0,286515000.0,,35207000.0,3473514000.0,76029000.0,141470000.0,,322474000.0,,,,70220000.0,626659000.0,1173708000.0,-4289000.0,2846855000.0,3473514000.0,,,,,,,,,,,31273000.0,383757000.0,,200220000.0,,,105976000.0,,-1019000.0,-262364000.0,,1568000.0,1961000.0,-243613000.0,-18892000.0
2011-12-31,2766207000.0,,971751000.0,140523000.0,412541000.0,1040415000.0,-68664000.0,,-53713000.0,-14220000.0,-39493000.0,-0.46,-0.46,86067000.0,86067000.0,605619000.0,66146000.0,310568000.0,475867000.0,355147000.0,,113729000.0,2613261000.0,116192000.0,1815958000.0,65444000.0,,190303000.0,5777614000.0,176448000.0,406659000.0,41925000.0,973724000.0,,,73054000.0,373506000.0,2133751000.0,1626071000.0,-5037000.0,3643863000.0,5777614000.0,235231000.0,114428000.0,-155505000.0,529809000.0,,,21908000.0,94674000.0,,,-33463000.0,331240000.0,128653000.0,363960000.0,,21105000.0,731814000.0,,-992000.0,-676457000.0,,110836000.0,571218000.0,-160070000.0,46153000.0
2012-03-31,497055000.0,,76745000.0,36084000.0,91820000.0,533027000.0,-456282000.0,,-456486000.0,-7070000.0,-449416000.0,-5.2,-5.2,86507000.0,86507000.0,610480000.0,53107000.0,315915000.0,582607000.0,32824000.0,,122786000.0,2900403000.0,86131000.0,1540953000.0,65444000.0,,53025000.0,5773512000.0,218216000.0,434333000.0,177583000.0,1171033000.0,,,75290000.0,409974000.0,2564516000.0,1176655000.0,-10892000.0,,5773512000.0,73164000.0,23594000.0,,26871000.0,,,4467000.0,14000000.0,,,-16136000.0,14446000.0,14800000.0,43067000.0,,2437000.0,124490000.0,,-2132000.0,-182320000.0,,9489000.0,195778000.0,4861000.0,2537000.0
2012-06-30,1454387000.0,,320486000.0,68449000.0,144004000.0,637109000.0,-316623000.0,,-321139000.0,24364000.0,-338433000.0,-3.9,-3.9,86855000.0,87653000.0,630240000.0,113453000.0,143670000.0,580737000.0,31386000.0,,85446000.0,2464424000.0,0.0,1567367000.0,65444000.0,,202129000.0,5487334000.0,194554000.0,476817000.0,195418000.0,962265000.0,,,78103000.0,507223000.0,2125895000.0,1287638000.0,-5477000.0,,5487334000.0,138229000.0,6933000.0,4896000.0,-114592000.0,,,-83977000.0,28018000.0,,,412335000.0,14446000.0,,83367000.0,,2437000.0,281972000.0,,4812000.0,-301303000.0,,66853000.0,-85906000.0,24621000.0,-25561000.0
2012-09-30,2293534000.0,,559202000.0,100821000.0,217511000.0,768780000.0,-209578000.0,,-210378000.0,40138000.0,-250516000.0,-2.89,-2.89,86992000.0,87765000.0,614699000.0,102295000.0,467640000.0,537567000.0,37361000.0,,81101000.0,2710036000.0,0.0,1549689000.0,65444000.0,,280075000.0,5981729000.0,235744000.0,575156000.0,534000.0,1139827000.0,,,96481000.0,702047000.0,2523575000.0,1375555000.0,-1745000.0,,5981729000.0,202131000.0,20969000.0,11174000.0,252574000.0,,,-85083000.0,70401000.0,,,434650000.0,18842000.0,,98857000.0,,2437000.0,339213000.0,,5000000.0,-344328000.0,,61571000.0,-84227000.0,9080000.0,-22418000.0
2012-12-31,3368545000.0,,852749000.0,132460000.0,280928000.0,890312000.0,-37563000.0,,-39804000.0,56534000.0,-96338000.0,-1.11,-1.11,86860000.0,86860000.0,901294000.0,102578000.0,553567000.0,434921000.0,342837000.0,,64219000.0,2832324000.0,0.0,1525382000.0,65444000.0,,326816000.0,6348692000.0,350230000.0,554433000.0,2056000.0,1101374000.0,,,102599000.0,292216000.0,2743166000.0,1529733000.0,10179000.0,3605526000.0,6348692000.0,262716000.0,36971000.0,12938000.0,388039000.0,,,-82120000.0,174319000.0,,,762209000.0,29200000.0,108663000.0,,,2437000.0,379228000.0,,-83000.0,-383732000.0,,27373000.0,-89109000.0,295675000.0,-21543000.0
2013-03-31,755205000.0,,169326000.0,29931000.0,74465000.0,108119000.0,61207000.0,,66189000.0,7047000.0,59142000.0,0.68,0.66,87206000.0,89377000.0,842753000.0,168993000.0,279131000.0,388509000.0,41456000.0,,58113000.0,3109926000.0,,1553205000.0,68833000.0,,58870000.0,6294425000.0,209019000.0,430503000.0,2614000.0,1533441000.0,,,105300000.0,331366000.0,2620443000.0,1588875000.0,-9085000.0,,6294425000.0,58291000.0,16488000.0,-453000.0,-286447000.0,,,-110000.0,-149715000.0,,,66455000.0,75591000.0,8775000.0,,,7934000.0,71667000.0,,2500000.0,-141600000.0,,24933000.0,21355000.0,-58541000.0,5661000.0
2013-06-30,1274965000.0,,309424000.0,60895000.0,140730000.0,209121000.0,100303000.0,,107251000.0,14511000.0,92740000.0,1.05,1.03,89201000.0,91142000.0,928657000.0,356615000.0,192580000.0,334261000.0,28878000.0,,80887000.0,3601279000.0,,1560908000.0,74930000.0,,93725000.0,6868126000.0,217587000.0,391764000.0,1682000.0,1854795000.0,,,,374871000.0,2711388000.0,1622473000.0,-21705000.0,,6868126000.0,116084000.0,23918000.0,-7769000.0,-341357000.0,,,-449000.0,-129314000.0,,,288828000.0,316285000.0,60766000.0,,,30745000.0,156856000.0,,1850000.0,-437620000.0,430368000.0,55695000.0,177221000.0,27363000.0,-5976000.0
2013-09-30,2540552000.0,,673458000.0,95879000.0,204600000.0,365251000.0,308207000.0,,315939000.0,28161000.0,287778000.0,3.14,3.08,98720000.0,100378000.0,1192648000.0,339236000.0,147741000.0,311700000.0,24649000.0,,54947000.0,3596566000.0,,1397784000.0,84985000.0,,180679000.0,6862710000.0,184837000.0,364545000.0,,1636186000.0,,,,413500000.0,2443335000.0,1817511000.0,-27372000.0,,6862710000.0,172984000.0,38211000.0,45000.0,-367841000.0,,,239000.0,-154345000.0,,,663920000.0,321086000.0,81684000.0,,,30745000.0,226360000.0,,1610000.0,-493744000.0,428190000.0,33958000.0,118881000.0,291354000.0,-5924000.0
2013-12-31,3308989000.0,,862754000.0,134300000.0,270261000.0,494225000.0,368529000.0,,378217000.0,25179000.0,353038000.0,3.77,3.7,93697000.0,95468000.0,1325072000.0,439102000.0,136383000.0,388951000.0,349998000.0,,61399000.0,3792764000.0,,1385084000.0,84985000.0,,193053000.0,6883502000.0,261333000.0,320077000.0,,1588061000.0,,,119124000.0,404381000.0,2380385000.0,1882771000.0,-25776000.0,4503117000.0,6883502000.0,234370000.0,55079000.0,-20878000.0,-564964000.0,,,1684000.0,-93259000.0,,,856126000.0,435015000.0,93984000.0,,,30745000.0,282576000.0,,3533000.0,-537106000.0,428190000.0,35076000.0,101164000.0,423778000.0,-1550000.0
