Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-25,4246000000.0,,,,1140000000.0,,414000000.0,,356000000.0,53000000.0,302000000.0,0.64,0.63,476000000.0,479000000.0,2473000000.0,,2499000000.0,1484000000.0,407000000.0,,957000000.0,7973000000.0,,3506000000.0,8786000000.0,2711000000.0,2625000000.0,25601000000.0,1159000000.0,2171000000.0,546000000.0,4047000000.0,1122000000.0,,,2724000000.0,12399000000.0,-518000000.0,-179000000.0,13188000000.0,25601000000.0,,,4000000.0,-91000000.0,44000000.0,,,-71000000.0,,,379000000.0,,,,,143000000.0,165000000.0,,-25000000.0,-417000000.0,,,159000000.0,119000000.0,
2010-03-26,8415000000.0,,,,2248000000.0,,841000000.0,,719000000.0,104000000.0,612000000.0,1.29,1.28,476000000.0,479000000.0,2733000000.0,,2460000000.0,1464000000.0,408000000.0,,932000000.0,7997000000.0,,3501000000.0,8665000000.0,2698000000.0,2611000000.0,25472000000.0,1164000000.0,2441000000.0,614000000.0,4755000000.0,1110000000.0,,,2689000000.0,12549000000.0,-208000000.0,-406000000.0,12907000000.0,25472000000.0,,,-35000000.0,-66000000.0,73000000.0,,,-52000000.0,,,1011000000.0,,,,,152000000.0,335000000.0,,-11000000.0,-695000000.0,,,62000000.0,379000000.0,
2010-06-25,12523000000.0,7912000000.0,,,3380000000.0,,1205000000.0,,935000000.0,78000000.0,866000000.0,1.8,1.79,492000000.0,496000000.0,1823000000.0,,2416000000.0,1417000000.0,1600000000.0,,949000000.0,7329000000.0,,4090000000.0,9388000000.0,3417000000.0,2684000000.0,26908000000.0,1213000000.0,2470000000.0,644000000.0,4959000000.0,1101000000.0,,,3074000000.0,12767000000.0,46000000.0,-585000000.0,14125000000.0,26908000000.0,,,-127000000.0,,127000000.0,,,33000000.0,,,1667000000.0,,,,,600000000.0,512000000.0,,-16000000.0,-1444000000.0,,,-741000000.0,-531000000.0,
2010-09-24,17016000000.0,10736000000.0,,131000000.0,4586000000.0,,1598000000.0,,1270000000.0,138000000.0,1132000000.0,2.33,2.32,485000000.0,488000000.0,1775000000.0,,2493000000.0,1443000000.0,2226000000.0,,936000000.0,7353000000.0,,4156000000.0,9577000000.0,3446000000.0,2596000000.0,27128000000.0,1340000000.0,2671000000.0,618000000.0,5268000000.0,1106000000.0,605000000.0,238000000.0,3001000000.0,13027000000.0,312000000.0,-321000000.0,14084000000.0,27128000000.0,1203000000.0,,-129000000.0,22000000.0,108000000.0,,,119000000.0,,,2630000000.0,,,,,600000000.0,718000000.0,,14000000.0,-1775000000.0,,,-1441000000.0,-579000000.0,255000000.0
2010-12-24,4379000000.0,2750000000.0,,,1137000000.0,,706000000.0,,653000000.0,163000000.0,659000000.0,1.35,1.34,488000000.0,492000000.0,2062000000.0,,2220000000.0,1253000000.0,1400000000.0,,921000000.0,6820000000.0,,3916000000.0,9593000000.0,3431000000.0,2622000000.0,26382000000.0,1158000000.0,2263000000.0,571000000.0,4511000000.0,1165000000.0,,,2876000000.0,12186000000.0,971000000.0,-430000000.0,14189000000.0,26382000000.0,323000000.0,,126000000.0,-11000000.0,104000000.0,,,-79000000.0,,,246000000.0,,,,,9000000.0,179000000.0,,3000000.0,389000000.0,,,-345000000.0,297000000.0,
2011-03-25,8371000000.0,5194000000.0,,,2222000000.0,,1143000000.0,,1030000000.0,220000000.0,974000000.0,2.03,2.01,480000000.0,485000000.0,1840000000.0,,2312000000.0,1353000000.0,1400000000.0,,892000000.0,6761000000.0,,3959000000.0,9721000000.0,3437000000.0,2676000000.0,26554000000.0,1167000000.0,2645000000.0,653000000.0,4467000000.0,1158000000.0,,,2906000000.0,12660000000.0,1288000000.0,-146000000.0,13888000000.0,26554000000.0,645000000.0,,122000000.0,43000000.0,165000000.0,,,-99000000.0,,,913000000.0,,,,,9000000.0,361000000.0,,-23000000.0,85000000.0,,,-937000000.0,75000000.0,
2011-06-24,12664000000.0,7834000000.0,,,3365000000.0,,1618000000.0,,1451000000.0,278000000.0,1333000000.0,2.8,2.77,476000000.0,481000000.0,1629000000.0,,2470000000.0,1406000000.0,1400000000.0,,946000000.0,6818000000.0,,4007000000.0,9895000000.0,3558000000.0,2699000000.0,26977000000.0,1230000000.0,2708000000.0,638000000.0,4618000000.0,1156000000.0,,,2876000000.0,12795000000.0,1642000000.0,10000000.0,14177000000.0,26977000000.0,976000000.0,,119000000.0,183000000.0,195000000.0,,,-53000000.0,,,1621000000.0,,,,,228000000.0,548000000.0,,6000000.0,-515000000.0,,,-1269000000.0,-136000000.0,
2011-09-30,17355000000.0,10745000000.0,,147000000.0,4635000000.0,,2119000000.0,,1893000000.0,326000000.0,1733000000.0,3.66,3.62,474000000.0,479000000.0,1390000000.0,60000000.0,2401000000.0,1344000000.0,2183000000.0,,508000000.0,6433000000.0,187000000.0,4051000000.0,9999000000.0,3628000000.0,2666000000.0,26777000000.0,1278000000.0,2407000000.0,643000000.0,4330000000.0,1143000000.0,606000000.0,207000000.0,2878000000.0,12497000000.0,2058000000.0,-434000000.0,14182000000.0,26777000000.0,1318000000.0,,91000000.0,187000000.0,137000000.0,,,25000000.0,,,2437000000.0,,,,,656000000.0,788000000.0,,39000000.0,-1325000000.0,,,-1481000000.0,-375000000.0,196000000.0
2011-12-30,4208000000.0,2544000000.0,,,1123000000.0,,472000000.0,,412000000.0,78000000.0,333000000.0,0.72,0.71,464000000.0,469000000.0,1013000000.0,,2293000000.0,1465000000.0,1400000000.0,,,6137000000.0,,4063000000.0,9991000000.0,3673000000.0,2634000000.0,26498000000.0,1243000000.0,2089000000.0,616000000.0,3985000000.0,1142000000.0,,,2856000000.0,12120000000.0,2391000000.0,-507000000.0,14279000000.0,26498000000.0,333000000.0,,48000000.0,-88000000.0,131000000.0,,,-35000000.0,-29000000.0,,338000000.0,,,,,95000000.0,207000000.0,,-29000000.0,-441000000.0,,,-271000000.0,-377000000.0,
2012-03-30,8561000000.0,5219000000.0,,,2232000000.0,,956000000.0,,836000000.0,168000000.0,660000000.0,1.42,1.41,463000000.0,469000000.0,1086000000.0,,2441000000.0,1543000000.0,1400000000.0,,,6463000000.0,,4150000000.0,10130000000.0,3745000000.0,2574000000.0,27062000000.0,1326000000.0,2276000000.0,681000000.0,4286000000.0,1151000000.0,,,2803000000.0,12377000000.0,2718000000.0,-306000000.0,14562000000.0,27062000000.0,675000000.0,,76000000.0,16000000.0,184000000.0,,,3000000.0,33000000.0,,1054000000.0,,,,,205000000.0,431000000.0,,-64000000.0,-909000000.0,,,-464000000.0,-304000000.0,
2012-06-29,13021000000.0,7915000000.0,,,3525000000.0,,1323000000.0,,1141000000.0,221000000.0,902000000.0,1.95,1.92,463000000.0,470000000.0,1118000000.0,,2475000000.0,1552000000.0,1300000000.0,,,6646000000.0,,4173000000.0,10029000000.0,3750000000.0,2470000000.0,27068000000.0,1389000000.0,2244000000.0,686000000.0,4335000000.0,1150000000.0,,,2912000000.0,12546000000.0,2960000000.0,-588000000.0,14400000000.0,27068000000.0,1021000000.0,,72000000.0,119000000.0,233000000.0,,,83000000.0,50000000.0,,1830000000.0,,,,,217000000.0,694000000.0,,-59000000.0,-1359000000.0,,,-732000000.0,-272000000.0,
2012-09-28,10403000000.0,6626000000.0,,145000000.0,2903000000.0,,685000000.0,,41000000.0,348000000.0,472000000.0,1.02,1.02,463000000.0,463000000.0,844000000.0,70000000.0,1711000000.0,634000000.0,2297000000.0,,490000000.0,4334000000.0,133000000.0,1670000000.0,4377000000.0,780000000.0,1204000000.0,12365000000.0,897000000.0,1788000000.0,402000000.0,3097000000.0,424000000.0,211000000.0,124000000.0,2341000000.0,7343000000.0,2499000000.0,-966000000.0,4994000000.0,12365000000.0,418000000.0,,373000000.0,128000000.0,72000000.0,,,59000000.0,-1000000.0,,701000000.0,,,,,217000000.0,406000000.0,,-27000000.0,-582000000.0,,,-508000000.0,49000000.0,147000000.0
2012-12-28,2600000000.0,1668000000.0,,,682000000.0,,235000000.0,,206000000.0,39000000.0,163000000.0,0.35,0.34,466000000.0,473000000.0,501000000.0,,1709000000.0,664000000.0,500000000.0,,,4081000000.0,,1682000000.0,4406000000.0,765000000.0,1191000000.0,12125000000.0,839000000.0,1522000000.0,364000000.0,2735000000.0,416000000.0,,,2337000000.0,6969000000.0,2662000000.0,-950000000.0,5126000000.0,12125000000.0,105000000.0,,10000000.0,9000000.0,29000000.0,,,-61000000.0,-47000000.0,,-39000000.0,,,,,23000000.0,90000000.0,,-8000000.0,-188000000.0,,,-119000000.0,-310000000.0,
